"","bigram","n"
"198","feel come",49
"199","heart tell",49
"200","like time",49
"201","radio radio",49
"202","steal heart",49
"203","sweet little",49
"204","blue blue",48
"205","burn inside",48
"206","know heart",48
"207","little little",48
"208","lose lose",48
"209","time gonna",48
"210","know live",47
"211","sound like",47
"212","tell know",47
"213","wanna know",47
"214","wrong right",47
"215","cry cry",46
"216","feel right",46
"217","kick kick",46
"218","know come",46
"219","lose control",46
"220","save save",46
"221","time like",46
"222","break rule",45
"223","comin comin",45
"224","feel inside",45
"225","feel know",45
"226","know miss",45
"227","life go",45
"228","look face",45
"229","tear fall",45
"230","tell want",45
"231","time mind",45
"232","turn light",45
"233","yeah know",45
"234","break away",44
"235","say want",44
"236","serve somebody",44
"237","want stay",44
"238","beat heart",43
"239","bell ring",43
"240","felt like",43
"241","heart come",43
"242","know better",43
"243","make feel",43
"244","real good",43
"245","walk walk",43
"246","world live",43
"247","away want",42
"248","blue moon",42
"249","cause time",42
"250","feel time",42
"251","heart away",42
"252","learn live",42
"253","look away",42
"254","rest life",42
"255","shout shout",42
"256","time leave",42
"257","away leave",41
"258","gonna change",41
"259","know good",41
"260","minute minute",41
"261","run away",41
"262","take take",41
"263","world stop",41
"264","away baby",40
"265","away look",40
"266","come feel",40
"267","fear fear",40
"268","hand heart",40
"269","hell hell",40
"270","inside heart",40
"271","life like",40
"272","like fool",40
"273","papa ooma",40
"274","time change",40
"275","time think",40
"276","clap hand",39
"277","get away",39
"278","hard time",39
"279","head head",39
"280","hide away",39
"281","high school",39
"282","live inside",39
"283","stay night",39
"284","take away",39
"285","take heart",39
"286","things things",39
"287","time away",39
"288","time lose",39
"289","time place",39
"290","tire tire",39
"291","work hard",39
"292","bald head",38
"293","fall know",38
"294","go leave",38
"295","home home",38
"296","lala lala",38
"297","need want",38
"298","ooma papa",38
"299","remember time",38
"300","right baby",38
"301","right start",38
"302","stay away",38
"303","thousand time",38
"304","away time",37
"305","baby stay",37
"306","black money",37
"307","call call",37
"308","carry away",37
"309","heart baby",37
"310","know cause",37
"311","know life",37
"312","late night",37
"313","leave heart",37
"314","right know",37
"315","runnin runnin",37
"316","somebody today",37
"317","spend night",37
"318","sweet music",37
"319","sweet sweet",37
"320","time stand",37
"321","touch hand",37
"322","wanna leave",37
"323","away stay",36
"324","away turn",36
"325","come time",36
"326","count count",36
"327","creator creator",36
"328","know baby",36
"329","know long",36
"330","know think",36
"331","like yesterday",36
"332","live dream",36
"333","nearer thee",36
"334","play play",36
"335","second time",36
"336","shut mouth",36
"337","sing little",36
"338","somebody want",36
"339","take long",36
"340","tear tear",36
"341","world know",36
"342","world turn",36
"343","away heart",35
"344","baby go",35
"345","break hearts",35
"346","ding dong",35
"347","gonna fall",35
"348","good feel",35
"349","hold heart",35
"350","know care",35
"351","know tell",35
"352","life time",35
"353","listen heart",35
"354","make sense",35
"355","mind time",35
"356","nice nice",35
"357","sing blue",35
"358","spend time",35
"359","stick stick",35
"360","talk bout",35
"361","ugly ugly",35
"362","come tomorrow",34
"363","fight right",34
"364","fool love",34
"365","girl know",34
"366","give heart",34
"367","go time",34
"368","home blue",34
"369","know leave",34
"370","lie lie",34
"371","piece heart",34
"372","quick quick",34
"373","shame shame",34
"374","steal away",34
"375","time good",34
"376","today somebody",34
"377","wait wait",34
"378","walk door",34
"379","wanna hold",34
"380","want somebody",34
"381","young fall",34
"382","away go",33
"383","blue eye",33
"384","cause want",33
"385","church poison",33
"386","come little",33
"387","gonna leave",33
"388","good heart",33
"389","hear say",33
"390","know look",33
"391","life want",33
"392","like dream",33
"393","little girl",33
"394","little piece",33
"395","little song",33
"396","mellow dead",33
"397","things know",33
"398","time look",33
"399","tomorrow come",33
"400","wipe away",33
"401","word long",33
"402","write song",33
"403","away think",32
"404","baby right",32
"405","burn burn",32
"406","change time",32
"407","close door",32
"408","come long",32
"409","come night",32
"410","gotta gotta",32
"411","hear word",32
"412","heart night",32
"413","heaven belong",32
"414","like go",32
"415","lonely heart",32
"416","poison mind",32
"417","reveal reveal",32
"418","right gonna",32
"419","right tonight",32
"420","spend life",32
"421","summer long",32
"422","take hand",32
"423","thee nearer",32
"424","touch feel",32
"425","want feel",32
"426","watch watch",32
"427","world come",32
"428","baby leave",31
"429","baby want",31
"430","cause heart",31
"431","cold grind",31
"432","comin home",31
"433","go night",31
"434","gonna live",31
"435","hand clap",31
"436","heart light",31
"437","high high",31
"438","hold close",31
"439","know believe",31
"440","know dream",31
"441","know lose",31
"442","like heart",31
"443","mind know",31
"444","money go",31
"445","rain rain",31
"446","think feel",31
"447","believe true",30
"448","better life",30
"449","breathe breathe",30
"450","buzz buzz",30
"451","cause gonna",30
"452","christmas time",30
"453","come alive",30
"454","come away",30
"455","come heart",30
"456","fine line",30
"457","fuck school",30
"458","good taste",30
"459","hand hold",30
"460","heart leave",30
"461","heaven know",30
"462","hide place",30
"463","home come",30
"464","home want",30
"465","know fall",30
"466","learn lesson",30
"467","letter letter",30
"468","like feel",30
"469","little time",30
"470","lord know",30
"471","mind church",30
"472","place hide",30
"473","school fuck",30
"474","seventh seventh",30
"475","tell lie",30
"476","things come",30
"477","time tell",30
"478","whoa yeah",30
"479","word word",30
"480","away night",29
"481","baby away",29
"482","blow away",29
"483","cry night",29
"484","evil evil",29
"485","girl like",29
"486","go baybay",29
"487","go right",29
"488","heart go",29
"489","heart want",29
"490","know change",29
"491","know stand",29
"492","know stay",29
"493","leave right",29
"494","like want",29
"495","little closer",29
"496","live like",29
"497","lock lock",29
"498","long know",29
"499","lookin lookin",29
"500","loose change",29
"501","lose heart",29
"502","material world",29
"503","miss know",29
"504","night hold",29
"505","sail away",29
"506","stand tall",29
"507","tonight night",29
"508","treat like",29
"509","wide world",29
"510","wish wish",29
"511","witch witch",29
"512","away come",28
"513","away like",28
"514","baby hold",28
"515","come sing",28
"516","dead mellow",28
"517","fade grey",28
"518","fight like",28
"519","fuck fuck",28
"520","gonna alright",28
"521","hand jive",28
"522","hear sing",28
"523","heart stone",28
"524","like come",28
"525","look kill",28
"526","matter matter",28
"527","need hand",28
"528","night away",28
"529","say say",28
"530","sleep sleep",28
"531","sure sittin",28
"532","tell feel",28
"533","thank thank",28
"534","tonk blue",28
"535","want home",28
"536","want love",28
"537","yeah baby",28
"538","away live",27
"539","away slip",27
"540","away tear",27
"541","bang bang",27
"542","black coffee",27
"543","call hear",27
"544","come cause",27
"545","come soon",27
"546","come tell",27
"547","cross mind",27
"548","devil devil",27
"549","dream know",27
"550","eye eye",27
"551","eye like",27
"552","fall young",27
"553","go come",27
"554","go like",27
"555","hard hard",27
"556","hear sound",27
"557","heart stay",27
"558","hide hide",27
"559","hide seek",27
"560","home sweet",27
"561","inside burn",27
"562","inside feel",27
"563","kiss lips",27
"564","know hurt",27
"565","know try",27
"566","know wanna",27
"567","leave cold",27
"568","like knife",27
"569","like lose",27
"570","love woman",27
"571","lover lover",27
"572","party tonight",27
"573","play fool",27
"574","point view",27
"575","reason reason",27
"576","right come",27
"577","somebody serve",27
"578","start start",27
"579","state mind",27
"580","stay time",27
"581","stone cold",27
"582","tell go",27
"583","tell time",27
"584","tell truth",27
"585","think gonna",27
"586","time fly",27
"587","time remember",27
"588","time yeah",27
"589","true hard",27
"590","try hard",27
"591","turn head",27
"592","walk line",27
"593","warm warm",27
"594","world fall",27
"595","years years",27
"596","young young",27
"597","black leather",26
"598","break loose",26
"599","breath away",26
"600","cause baby",26
"601","come right",26
"602","dead alive",26
"603","dead go",26
"604","ease pain",26
"605","girl promise",26
"606","guilty guilty",26
"607","help fall",26
"608","kerosene kerosene",26
"609","kill tonight",26
"610","know start",26
"611","know world",26
"612","leave time",26
"613","life long",26
"614","live right",26
"615","lock door",26
"616","lonely days",26
"617","lonely tonight",26
"618","look right",26
"619","matter time",26
"620","night know",26
"621","people know",26
"622","precious time",26
"623","radio land",26
"624","right hand",26
"625","say come",26
"626","slip slide",26
"627","sole survivor",26
"628","songs sing",26
"629","sweep away",26
"630","things change",26
"631","time long",26
"632","want hear",26
"633","change loose",25
"634","come life",25
"635","drive away",25
"636","feel go",25
"637","feelin feelin",25
"638","good know",25
"639","grow accustom",25
"640","hard believe",25
"641","heaven door",25
"642","heeheheh yeah",25
"643","hold feel",25
"644","knock door",25
"645","know turn",25
"646","know wrong",25
"647","like baby",25
"648","live know",25
"649","look good",25
"650","peace mind",25
"651","ready wanna",25
"652","right think",25
"653","round round",25
"654","save life",25
"655","season change",25
"656","slime creatures",25
"657","take time",25
"658","teacher teacher",25
"659","time take",25
"660","today today",25
"661","true know",25
"662","turn walk",25
"663","wanna ready",25
"664","world go",25
"665","write book",25
"666","yeah black",25
"667","yeah go",25
"668","away carry",24
"669","baby need",24
"670","baby time",24
"671","babylon babylon",24
"672","believe know",24
"673","best friend",24
"674","blue orange",24
"675","burn hell",24
"676","catch fall",24
"677","change feel",24
"678","cold blood",24
"679","dance night",24
"680","early morning",24
"681","everybody want",24
"682","feel life",24
"683","forget time",24
"684","forth forth",24
"685","funny time",24
"686","go inside",24
"687","gonna stop",24
"688","good right",24
"689","good yeah",24
"690","grey matter",24
"691","grind cold",24
"692","hammer nail",24
"693","hear song",24
"694","heart true",24
"695","hold know",24
"696","homie pop",24
"697","knock heaven",24
"698","know night",24
"699","know reason",24
"700","know see",24
"701","leave baby",24
"702","light light",24
"703","like break",24
"704","like cause",24
"705","like yeah",24
"706","live dead",24
"707","lock away",24
"708","look know",24
"709","miss miss",24
"710","need heart",24
"711","night tonight",24
"712","oooh heart",24
"713","pain heart",24
"714","promise land",24
"715","right heaven",24
"716","right say",24
"717","spend money",24
"718","starlight starbright",24
"719","thing know",24
"720","things go",24
"721","time fall",24
"722","time hear",24
"723","time hold",24
"724","time kill",24
"725","treat right",24
"726","try try",24
"727","wanna lose",24
"728","yeah wanna",24
"729","away dream",23
"730","away take",23
"731","baby come",23
"732","baby girl",23
"733","baby yeah",23
"734","bleed bleed",23
"735","blue sky",23
"736","break chain",23
"737","burn heart",23
"738","cause go",23
"739","chip shoulder",23
"740","cold dark",23
"741","cover cover",23
"742","cruiser creek",23
"743","dance dance",23
"744","days go",23
"745","dead night",23
"746","everybody need",23
"747","everytime away",23
"748","eye tell",23
"749","feel need",23
"750","flesh blood",23
"751","forever forever",23
"752","get point",23
"753","go feel",23
"754","go yeah",23
"755","gonna come",23
"756","gonna stand",23
"757","gonna tell",23
"758","gotta know",23
"759","head heel",23
"760","help help",23
"761","hurt time",23
"762","leave know",23
"763","leave lonely",23
"764","live edge",23
"765","long baby",23
"766","long come",23
"767","look heart",23
"768","love start",23
"769","music play",23
"770","need money",23
"771","night gonna",23
"772","outer space",23
"773","people good",23
"774","play night",23
"775","reach touch",23
"776","right cause",23
"777","right want",23
"778","roll heart",23
"779","sã bado",23
"780","say go",23
"781","secret safe",23
"782","state heart",23
"783","stay right",23
"784","strong strong",23
"785","tie bind",23
"786","time break",23
"787","time night",23
"788","time play",23
"789","turn stone",23
"790","unite unite",23
"791","waitin waitin",23
"792","wall come",23
"793","want come",23
"794","weak weak",23
"795","work time",23
"796","write germany",23
"797","away say",22
"798","away tell",22
"799","better days",22
"800","better hand",22
"801","blood run",22
"802","bone bone",22
"803","cry shadow",22
"804","dirty dirty",22
"805","door open",22
"806","dream real",22
"807","eye close",22
"808","eye feel",22
"809","feel alright",22
"810","forever know",22
"811","girl leave",22
"812","gonna play",22
"813","gonna think",22
"814","good things",22
"815","hand time",22
"816","heart ache",22
"817","heart mind",22
"818","heart need",22
"819","heart tear",22
"820","jump jump",22
"821","know hear",22
"822","lack communication",22
"823","life short",22
"824","like hold",22
"825","like thank",22
"826","live material",22
"827","long wait",22
"828","look tell",22
"829","loot shoot",22
"830","love fool",22
"831","make wonder",22
"832","matter grey",22
"833","mind business",22
"834","money yeah",22
"835","need like",22
"836","night like",22
"837","outside look",22
"838","outside outside",22
"839","people world",22
"840","real feel",22
"841","ring bell",22
"842","sleepless nights",22
"843","slip slip",22
"844","sooner later",22
"845","stand wonder",22
"846","start fall",22
"847","stay little",22
"848","stop think",22
"849","take chance",22
"850","talk like",22
"851","tell gonna",22
"852","think bout",22
"853","think go",22
"854","think like",22
"855","time heart",22
"856","time pass",22
"857","tomorrow tomorrow",22
"858","tonight kill",22
"859","wanna live",22
"860","want time",22
"861","white black",22
"862","winter wonderland",22
"863","woman love",22
"864","word say",22
"865","world brutal",22
"866","yeah heeheheh",22
"867","yeah right",22
"868","away girl",21
"869","away long",21
"870","away yeah",21
"871","better know",21
"872","blue party",21
"873","brutal world",21
"874","cause feel",21
"875","change know",21
"876","come talk",21
"877","dream night",21
"878","dream walk",21
"879","eye look",21
"880","fall break",21
"881","feel change",21
"882","feel heat",21
"883","forget forget",21
"884","give away",21
"885","go tonight",21
"886","good thing",21
"887","hand inside",21
"888","heart lose",21
"889","heart start",21
"890","insane insane",21
"891","know love",21
"892","know mind",21
"893","life think",21
"894","light oooh",21
"895","like tell",21
"896","line fine",21
"897","line layin",21
"898","live away",21
"899","long song",21
"900","lord lord",21
"901","morning light",21
"902","music sweet",21
"903","need hold",21
"904","ought know",21
"905","overweight lover",21
"906","panorama panorama",21
"907","ready burn",21
"908","save little",21
"909","say know",21
"910","sell soul",21
"911","slide away",21
"912","spell break",21
"913","stand know",21
"914","stranger stranger",21
"915","take second",21
"916","talk come",21
"917","tell baby",21
"918","till till",21
"919","time catch",21
"920","time cause",21
"921","time line",21
"922","time make",21
"923","time need",21
"924","time turn",21
"925","try tell",21
"926","voodoo voodoo",21
"927","waltz waltz",21
"928","wind heart",21
"929","woman like",21
"930","wonder come",21
"931","wonder wonder",21
"932","world break",21
"933","year knife",21
"934","away murder",20
"935","baby gonna",20
"936","baby heart",20
"937","baby tell",20
"938","baby tonight",20
"939","bado sã",20
"940","ball chain",20
"941","believe devil",20
"942","blood blood",20
"943","blow mind",20
"944","blue home",20
"945","break time",20
"946","cars world",20
"947","catapult catapult",20
"948","cause like",20
"949","change come",20
"950","chant babylon",20
"951","chant chant",20
"952","clap clap",20
"953","come hold",20
"954","come leave",20
"955","come tonight",20
"956","come walk",20
"957","dark entries",20
"958","dead come",20
"959","deal black",20
"960","door knock",20
"961","dream hard",20
"962","drift away",20
"963","drool drool",20
"964","everybody know",20
"965","eye know",20
"966","fall rain",20
"967","feel blue",20
"968","friday play",20
"969","gettin gettin",20
"970","go forever",20
"971","go heart",20
"972","gonna time",20
"973","have good",20
"974","hear scream",20
"975","heart good",20
"976","heart time",20
"977","hell break",20
"978","high grade",20
"979","inside know",20
"980","jerusalem like",20
"981","jingle jingle",20
"982","know hold",20
"983","know make",20
"984","know real",20
"985","know wait",20
"986","know yeah",20
"987","like life",20
"988","little baby",20
"989","little mystery",20
"990","live doom",20
"991","live learn",20
"992","long home",20
"993","look better",20
"994","look time",20
"995","looky bald",20
"996","lover house",20
"997","money spend",20
"998","need tell",20
"999","need tonight",20
"1000","play friday",20
"1001","play song",20
"1002","right eye",20
"1003","school nights",20
"1004","take baby",20
"1005","talk hear",20
"1006","tell come",20
"1007","thing human",20
"1008","things life",20
"1009","time believe",20
"1010","time second",20
"1011","tomorrow people",20
"1012","tonight hold",20
"1013","true blue",20
"1014","turn world",20
"1015","wait darkness",20
"1016","walk floor",20
"1017","walk talk",20
"1018","walk winter",20
"1019","want tell",20
"1020","word speak",20
"1021","away break",19
"1022","away cause",19
"1023","away feel",19
"1024","away hear",19
"1025","baby cause",19
"1026","ball wall",19
"1027","baybay go",19
"1028","believe come",19
"1029","bitch bitch",19
"1030","bitch like",19
"1031","bite dirty",19
"1032","blame blame",19
"1033","blue come",19
"1034","break spell",19
"1035","burn like",19
"1036","captain captain",19
"1037","cause come",19
"1038","cause need",19
"1039","chain heart",19
"1040","chicks cars",19
"1041","cold wind",19
"1042","come rescue",19
"1043","come think",19
"1044","dedicate life",19
"1045","devil bite",19
"1046","dewdrops drop",19
"1047","feel lose",19
"1048","fly have",19
"1049","fresh blood",19
"1050","fuck bitch",19
"1051","germany write",19
"1052","get better",19
"1053","go home",19
"1054","go tell",19
"1055","goodbye baby",19
"1056","goody goody",19
"1057","guide light",19
"1058","guitar solo",19
"1059","hand mouth",19
"1060","head cloud",19
"1061","hear heartbeat",19
"1062","hear time",19
"1063","heart little",19
"1064","heart say",19
"1065","heart stand",19
"1066","hearts beat",19
"1067","hold rain",19
"1068","holiday holiday",19
"1069","human touch",19
"1070","hurry home",19
"1071","inside inside",19
"1072","kill poor",19
"1073","know touch",19
"1074","lady luck",19
"1075","leave girl",19
"1076","leave inside",19
"1077","leave stand",19
"1078","life feel",19
"1079","lightning strike",19
"1080","like bitch",19
"1081","like gonna",19
"1082","like rain",19
"1083","like think",19
"1084","little woman",19
"1085","long little",19
"1086","long years",19
"1087","lose feel",19
"1088","love come",19
"1089","lovin feel",19
"1090","make nazis",19
"1091","mean mean",19
"1092","mind leave",19
"1093","music music",19
"1094","nail hammer",19
"1095","night dream",19
"1096","night music",19
"1097","night tell",19
"1098","ohoh ohoh",19
"1099","open wide",19
"1100","passionate kiss",19
"1101","pearly dewdrops",19
"1102","place know",19
"1103","play music",19
"1104","real know",19
"1105","right hold",19
"1106","right like",19
"1107","shadow fall",19
"1108","song play",19
"1109","sound voice",19
"1110","stand line",19
"1111","stay baby",19
"1112","stop rain",19
"1113","sweet home",19
"1114","thing thing",19
"1115","think world",19
"1116","thou shalt",19
"1117","time move",19
"1118","time want",19
"1119","tonight need",19
"1120","unite stand",19
"1121","wait night",19
"1122","wait time",19
"1123","walk right",19
"1124","walkin jerusalem",19
"1125","want away",19
"1126","want cause",19
"1127","want leave",19
"1128","yeah somebody",19
"1129","young blood",19
"1130","american dream",18
"1131","away fade",18
"1132","away get",18
"1133","away pain",18
"1134","away throw",18
"1135","baby like",18
"1136","baby look",18
"1137","bang head",18
"1138","better things",18
"1139","better think",18
"1140","black beauty",18
"1141","black metal",18
"1142","bring knees",18
"1143","burnin burnin",18
"1144","california blue",18
"1145","cause live",18
"1146","cause think",18
"1147","come easy",18
"1148","come place",18
"1149","come round",18
"1150","come stay",18
"1151","come straight",18
"1152","come yeah",18
"1153","crack crack",18
"1154","cry tear",18
"1155","dead circuit",18
"1156","death come",18
"1157","devil island",18
"1158","drink fuck",18
"1159","eye turn",18
"1160","fall time",18
"1161","fool like",18
"1162","get hard",18
"1163","givin bone",18
"1164","go daddy",18
"1165","go tomorrow",18
"1166","go wind",18
"1167","gonna burn",18
"1168","gonna know",18
"1169","gonna rise",18
"1170","gonna walk",18
"1171","good days",18
"1172","hard dream",18
"1173","hard work",18
"1174","head gonna",18
"1175","hear heart",18
"1176","hear know",18
"1177","heart mend",18
"1178","heart sweet",18
"1179","heart take",18
"1180","heart texas",18
"1181","heart turn",18
"1182","heart walk",18
"1183","heart yeah",18
"1184","hearts hearts",18
"1185","hold cause",18
"1186","hold yeah",18
"1187","home baby",18
"1188","hurt inside",18
"1189","knife year",18
"1190","know break",18
"1191","know head",18
"1192","know play",18
"1193","know take",18
"1194","ladies night",18
"1195","leave home",18
"1196","like fall",18
"1197","like look",18
"1198","like love",18
"1199","like worm",18
"1200","line line",18
"1201","little go",18
"1202","little mama",18
"1203","long like",18
"1204","look come",18
"1205","lose life",18
"1206","loud loud",18
"1207","money deal",18
"1208","morning come",18
"1209","near near",18
"1210","need baby",18
"1211","need time",18
"1212","orange blue",18
"1213","pain pain",18
"1214","people play",18
"1215","ready roll",18
"1216","record check",18
"1217","rest peace",18
"1218","right night",18
"1219","rob stab",18
"1220","run run",18
"1221","shoot high",18
"1222","skin deep",18
"1223","slip tongue",18
"1224","somebody hold",18
"1225","somebody like",18
"1226","song life",18
"1227","stand edge",18
"1228","stand fight",18
"1229","step inside",18
"1230","sugar wall",18
"1231","teacher teach",18
"1232","tell believe",18
"1233","tell wrong",18
"1234","thing comin",18
"1235","think lose",18
"1236","think nothin",18
"1237","thinkin friends",18
"1238","tonight baby",18
"1239","tonight want",18
"1240","tuff life",18
"1241","turn leave",18
"1242","walk streets",18
"1243","wild heart",18
"1244","world today",18
"1245","wrong know",18
"1246","zoom zoom",18
"1247","alright alright",17
"1248","away eye",17
"1249","away need",17
"1250","baby fool",17
"1251","better leave",17
"1252","break fall",17
"1253","break know",17
"1254","break little",17
"1255","break promise",17
"1256","burn ready",17
"1257","cause pain",17
"1258","cheat cheat",17
"1259","closer heart",17
"1260","come inside",17
"1261","come live",17
"1262","count ways",17
"1263","creatures outer",17
"1264","dance little",17
"1265","days nights",17
"1266","dirty wane",17
"1267","doom live",17
"1268","door know",17
"1269","draw line",17
"1270","drive home",17
"1271","easy money",17
"1272","evil woman",17
"1273","eye say",17
"1274","eye wipe",17
"1275","face addict",17
"1276","fight world",17
"1277","flavor flavor",17
"1278","flick switch",17
"1279","fool baby",17
"1280","fool break",17
"1281","friend tonight",17
"1282","give life",17
"1283","go insane",17
"1284","go live",17
"1285","go mind",17
"1286","go party",17
"1287","gonna miss",17
"1288","gonna turn",17
"1289","good life",17
"1290","hallelujah ready",17
"1291","hand know",17
"1292","hard break",17
"1293","hard money",17
"1294","hear run",17
"1295","hear talk",17
"1296","heart better",17
"1297","heart change",17
"1298","heart give",17
"1299","heart hurt",17
"1300","heart stop",17
"1301","hide inside",17
"1302","hold head",17
"1303","hold need",17
"1304","hold tonight",17
"1305","house overweight",17
"1306","inside outside",17
"1307","know listen",17
"1308","know lonely",17
"1309","know people",17
"1310","know say",17
"1311","learn learn",17
"1312","leave light",17
"1313","leave tonight",17
"1314","lie tell",17
"1315","life better",17
"1316","life hold",17
"1317","life lead",17
"1318","like need",17
"1319","live die",17
"1320","live line",17
"1321","live want",17
"1322","livin livin",17
"1323","long live",17
"1324","long turn",17
"1325","look mirror",17
"1326","lord think",17
"1327","lose time",17
"1328","million million",17
"1329","music hear",17
"1330","night saturday",17
"1331","pass time",17
"1332","place time",17
"1333","play like",17
"1334","play somethin",17
"1335","point blank",17
"1336","promise paradise",17
"1337","return return",17
"1338","right leave",17
"1339","rise heart",17
"1340","river roll",17
"1341","roll night",17
"1342","roll roll",17
"1343","say baby",17
"1344","say time",17
"1345","senzeni senzeni",17
"1346","shake hand",17
"1347","shatter dream",17
"1348","silver bell",17
"1349","sleep dream",17
"1350","speak word",17
"1351","stand right",17
"1352","stay cause",17
"1353","stay home",17
"1354","stay hungry",17
"1355","steady rock",17
"1356","stop homie",17
"1357","swear true",17
"1358","sweet love",17
"1359","take fall",17
"1360","talk lover",17
"1361","tear rain",17
"1362","tear roll",17
"1363","tell cause",17
"1364","tell story",17
"1365","thing life",17
"1366","things feel",17
"1367","things say",17
"1368","think life",17
"1369","time baby",17
"1370","time roll",17
"1371","time run",17
"1372","time stop",17
"1373","time tonight",17
"1374","time year",17
"1375","tomorrow today",17
"1376","tonight cause",17
"1377","tonight lose",17
"1378","tonight yeah",17
"1379","toss away",17
"1380","turn inside",17
"1381","turn summer",17
"1382","victim victim",17
"1383","walk wire",17
"1384","want baby",17
"1385","want believe",17
"1386","want hold",17
"1387","want write",17
"1388","wastin time",17
"1389","watch step",17
"1390","word come",17
"1391","work work",17
"1392","world look",17
"1393","yeah come",17
"1394","addict spud",16
"1395","animal peepbo",16
"1396","arm feel",16
"1397","away hide",16
"1398","awful bore",16
"1399","baby long",16
"1400","backstreet slide",16
"1401","bbird word",16
"1402","beatin odds",16
"1403","believe heart",16
"1404","better stop",16
"1405","bloodstone bloodstone",16
"1406","blue know",16
"1407","blue light",16
"1408","blue sing",16
"1409","bone givin",16
"1410","bridge burn",16
"1411","brutal brutal",16
"1412","cause leave",16
"1413","cause take",16
"1414","cause work",16
"1415","check record",16
"1416","clear blue",16
"1417","come hard",16
"1418","come kiss",16
"1419","come look",16
"1420","cry time",16
"1421","daddy go",16
"1422","dark light",16
"1423","dark night",16
"1424","deer peepbo",16
"1425","devil right",16
"1426","drink smoke",16
"1427","drive insane",16
"1428","drug drug",16
"1429","dynamo dynamo",16
"1430","face nation",16
"1431","fall heart",16
"1432","fall night",16
"1433","fame gonna",16
"1434","favorite song",16
"1435","feel better",16
"1436","feel live",16
"1437","feel real",16
"1438","finer things",16
"1439","friday friday",16
"1440","fuck pimpin",16
