"","bigram","n"
"1","time time",372
"2","yeah yeah",356
"3","away away",341
"4","break heart",339
"5","go go",338
"6","feel like",294
"7","know know",256
"8","fall fall",236
"9","walk away",231
"10","night night",227
"11","hold hold",223
"12","long long",206
"13","come come",201
"14","heart break",195
"15","night long",192
"16","heart heart",188
"17","tonight tonight",186
"18","baby baby",183
"19","good good",182
"20","close eye",177
"21","good time",172
"22","right right",170
"23","better better",167
"24","live live",152
"25","sing song",147
"26","hold tight",142
"27","feel feel",141
"28","slip away",138
"29","want want",138
"30","live life",136
"31","come home",131
"32","come true",129
"33","long time",129
"34","leave leave",128
"35","fade away",127
"36","waste time",125
"37","know go",117
"38","believe believe",116
"39","kill kill",114
"40","stand stand",113
"41","look eye",112
"42","time come",111
"43","world world",111
"44","remember remember",110
"45","life life",109
"46","look like",109
"47","fall apart",108
"48","money money",108
"49","deep inside",107
"50","go away",107
"51","gonna gonna",105
"52","feel good",104
"53","break break",103
"54","dream come",102
"55","turn away",102
"56","know feel",100
"57","stay stay",100
"58","hand hand",99
"59","want know",98
"60","love love",96
"61","throw away",96
"62","mind mind",93
"63","right time",93
"64","lyric commercial",91
"65","song song",90
"66","cause know",89
"67","dream dream",89
"68","ready ready",89
"69","black black",87
"70","tear apart",85
"71","time know",85
"72","better watch",84
"73","cold cold",84
"74","heart know",84
"75","play game",84
"76","away know",83
"77","time right",83
"78","turn turn",82
"79","blind blind",81
"80","know time",81
"81","true true",81
"82","need need",80
"83","alive alive",79
"84","talkin bout",78
"85","tell tell",78
"86","face face",77
"87","know want",77
"88","nothin nothin",77
"89","know gonna",75
"90","stop stop",75
"91","change change",74
"92","listen listen",74
"93","woman woman",74
"94","goodbye goodbye",73
"95","life live",73
"96","heart beat",70
"97","kiss kiss",70
"98","fight fight",69
"99","hold hand",69
"100","night come",69
"101","change mind",68
"102","fool fool",68
"103","think know",68
"104","wind blow",68
"105","hold arm",67
"106","know mean",67
"107","long night",67
"108","right wrong",67
"109","know true",66
"110","open door",66
"111","heart like",65
"112","go long",64
"113","like like",64
"114","straight heart",64
"115","tear eye",64
"116","come baby",63
"117","dead dead",63
"118","hear hear",63
"119","late late",63
"120","open heart",63
"121","wanna wanna",63
"122","want need",63
"123","know like",62
"124","open eye",62
"125","talk talk",62
"126","live world",61
"127","night time",61
"128","real real",61
"129","think think",61
"130","whoa whoa",61
"131","baby know",60
"132","change life",60
"133","feel heart",60
"134","go wrong",60
"135","gonna break",60
"136","life know",60
"137","lonely lonely",60
"138","somebody somebody",60
"139","know right",59
"140","police police",59
"141","sleep night",59
"142","heart feel",58
"143","honky tonk",58
"144","know need",58
"145","live forever",58
"146","sing sing",58
"147","think time",58
"148","easy easy",57
"149","hear voice",57
"150","heart gonna",57
"151","like know",57
"152","saturday night",57
"153","shoot shoot",57
"154","black white",56
"155","come like",56
"156","long go",56
"157","rain fall",56
"158","ring ring",56
"159","lonely nights",55
"160","night go",55
"161","say goodbye",55
"162","sing songs",55
"163","tonight gonna",55
"164","everyday everyday",54
"165","feel pain",54
"166","go know",54
"167","promise promise",54
"168","song sing",54
"169","time feel",54
"170","wait long",54
"171","want live",54
"172","come know",53
"173","hear call",53
"174","heart soul",53
"175","human race",53
"176","look look",53
"177","touch touch",53
"178","away walk",52
"179","come go",52
"180","deep heart",52
"181","need know",52
"182","smile face",52
"183","time life",52
"184","fall like",51
"185","game play",51
"186","give give",51
"187","gonna right",51
"188","inside head",51
"189","lose mind",51
"190","wanna hear",51
"191","hurt hurt",50
"192","knock knock",50
"193","lonely night",50
"194","stop world",50
"195","time go",50
"196","arm hold",49
"197","doin doin",49
