"","bigram","n"
"349","wanna know",30
"350","want life",30
"351","want need",30
"352","world come",30
"353","alive alive",29
"354","better better",29
"355","come alive",29
"356","devil gate",29
"357","hear hear",29
"358","heart soul",29
"359","leave right",29
"360","miss miss",29
"361","morning light",29
"362","mount zion",29
"363","people know",29
"364","play music",29
"365","reason live",29
"366","sail away",29
"367","sleep sleep",29
"368","smoke go",29
"369","song song",29
"370","songs sing",29
"371","spend night",29
"372","steal away",29
"373","suck suck",29
"374","wanna wanna",29
"375","wrong wrong",29
"376","baby good",28
"377","best know",28
"378","city fool",28
"379","come sing",28
"380","come summer",28
"381","gonna break",28
"382","good thing",28
"383","gotta gotta",28
"384","home know",28
"385","home sweet",28
"386","kill kill",28
"387","know heart",28
"388","learn learn",28
"389","life leave",28
"390","like fool",28
"391","like rain",28
"392","like think",28
"393","lonely days",28
"394","muzorewi daughter",28
"395","people hold",28
"396","promise land",28
"397","reggae music",28
"398","save save",28
"399","tell go",28
"400","tell know",28
"401","time live",28
"402","welcome welcome",28
"403","world change",28
"404","yeah time",28
"405","away come",27
"406","baby yeah",27
"407","believe true",27
"408","dope bitch",27
"409","face face",27
"410","feel blue",27
"411","feel fine",27
"412","feel groove",27
"413","future days",27
"414","go come",27
"415","hear sound",27
"416","home away",27
"417","hurt loser",27
"418","kill softly",27
"419","know love",27
"420","know real",27
"421","know start",27
"422","leave stand",27
"423","licorice licorice",27
"424","like makin",27
"425","loser seat",27
"426","love sweet",27
"427","love woman",27
"428","lovin good",27
"429","rain rain",27
"430","rest life",27
"431","right yeah",27
"432","shame shame",27
"433","social live",27
"434","thank praise",27
"435","things change",27
"436","turn light",27
"437","wild life",27
"438","word baby",27
"439","action action",26
"440","alive dead",26
"441","america miss",26
"442","arm hold",26
"443","away want",26
"444","away yeah",26
"445","baby gonna",26
"446","baby word",26
"447","cause want",26
"448","dream know",26
"449","everybody know",26
"450","feel alright",26
"451","feel heart",26
"452","girl girl",26
"453","girl know",26
"454","hear word",26
"455","high school",26
"456","jive talkin",26
"457","know cause",26
"458","know make",26
"459","know social",26
"460","lie lie",26
"461","life away",26
"462","live yeah",26
"463","long go",26
"464","long know",26
"465","mind know",26
"466","place know",26
"467","right know",26
"468","sake future",26
"469","stay night",26
"470","takin streets",26
"471","thank thank",26
"472","time need",26
"473","try hard",26
"474","woah woah",26
"475","baby arm",25
"476","baby leave",25
"477","blue sky",25
"478","cause feel",25
"479","change come",25
"480","come stay",25
"481","comin strong",25
"482","count count",25
"483","dash dash",25
"484","dead go",25
"485","dream summer",25
"486","go tell",25
"487","gonna come",25
"488","hear radio",25
"489","know tell",25
"490","leave know",25
"491","makin feel",25
"492","need change",25
"493","real feel",25
"494","right cause",25
"495","right hold",25
"496","softly song",25
"497","someday soon",25
"498","soul soul",25
"499","stand lose",25
"500","take heart",25
"501","talk blue",25
"502","tell lie",25
"503","tell story",25
"504","time mind",25
"505","time pass",25
"506","time want",25
"507","tomorrow come",25
"508","write songs",25
"509","affair spring",24
"510","baby fool",24
"511","band play",24
"512","break dream",24
"513","close door",24
"514","comin comin",24
"515","days lonely",24
"516","days nights",24
"517","everybody makin",24
"518","feelin feelin",24
"519","feelin right",24
"520","free free",24
"521","gonna hurt",24
"522","gonna raise",24
"523","good right",24
"524","heart baby",24
"525","heart need",24
"526","know away",24
"527","know believe",24
"528","know better",24
"529","know care",24
"530","lady lady",24
"531","life time",24
"532","live wire",24
"533","livin life",24
"534","look good",24
"535","midnight plane",24
"536","need know",24
"537","night roll",24
"538","raise hell",24
"539","road long",24
"540","seat hurt",24
"541","shout shout",24
"542","song like",24
"543","things life",24
"544","think like",24
"545","time baby",24
"546","train leave",24
"547","walk water",24
"548","want baby",24
"549","america america",23
"550","baby live",23
"551","break hearts",23
"552","bring sweet",23
"553","change gonna",23
"554","dance away",23
"555","dream away",23
"556","drive crazy",23
"557","easy fall",23
"558","fall apart",23
"559","gonna kill",23
"560","goodies go",23
"561","heart beat",23
"562","heart go",23
"563","heart like",23
"564","hell gonna",23
"565","hold people",23
"566","homicide homicide",23
"567","kiss kiss",23
"568","know stay",23
"569","know wanna",23
"570","life want",23
"571","little time",23
"572","live time",23
"573","lose music",23
"574","love mambo",23
"575","lover come",23
"576","night fever",23
"577","number number",23
"578","rain window",23
"579","sing like",23
"580","singin blue",23
"581","stop love",23
"582","suffragette city",23
"583","summer come",23
"584","time lose",23
"585","tonight gonna",23
"586","wanna believe",23
"587","want blood",23
"588","want hold",23
"589","wide world",23
"590","woman hold",23
"591","work work",23
"592","yeah come",23
"593","away like",22
"594","away tear",22
"595","better know",22
"596","come better",22
"597","come leave",22
"598","feel go",22
"599","flat break",22
"600","give give",22
"601","good stop",22
"602","groovy people",22
"603","hell know",22
"604","home hand",22
"605","human race",22
"606","kiss time",22
"607","know dream",22
"608","know fool",22
"609","know matter",22
"610","know think",22
"611","know try",22
"612","light light",22
"613","like come",22
"614","live roll",22
"615","lose stand",22
"616","make believe",22
"617","modern world",22
"618","monkey monkey",22
"619","need love",22
"620","need want",22
"621","night saturday",22
"622","oohooh oohooh",22
"623","say goodbye",22
"624","say know",22
"625","sooner later",22
"626","thank friend",22
"627","tick tick",22
"628","tight hold",22
"629","time bomb",22
"630","time hold",22
"631","time play",22
"632","tomorrow tomorrow",22
"633","want fall",22
"634","word say",22
"635","ball ball",21
"636","begin begin",21
"637","bout talk",21
"638","cause live",21
"639","days long",21
"640","fall time",21
"641","go baby",21
"642","go right",21
"643","go yeah",21
"644","gonna feel",21
"645","gonna right",21
"646","good vibrations",21
"647","head woman",21
"648","heart open",21
"649","know change",21
"650","know game",21
"651","know lonely",21
"652","know reason",21
"653","leave want",21
"654","like yesterday",21
"655","listen music",21
"656","live dream",21
"657","live want",21
"658","lonely girl",21
"659","lord know",21
"660","mouth shut",21
"661","need baby",21
"662","nigga nigga",21
"663","night right",21
"664","night yeah",21
"665","play blue",21
"666","play fool",21
"667","play guitar",21
"668","remake world",21
"669","right feel",21
"670","save soul",21
"671","say time",21
"672","serve somebody",21
"673","sing sweet",21
"674","stop stop",21
"675","sweet talkin",21
"676","tell people",21
"677","things things",21
"678","tick time",21
"679","time tomorrow",21
"680","walk lonely",21
"681","wanna kiss",21
"682","want feel",21
"683","want time",21
"684","wash wash",21
"685","world keep",21
"686","write letter",21
"687","write wall",21
"688","act like",20
"689","away long",20
"690","baby need",20
"691","baby night",20
"692","black coffee",20
"693","blue know",20
"694","change time",20
"695","change ways",20
"696","chase change",20
"697","come listen",20
"698","daughter muzorewi",20
"699","deep deep",20
"700","dream leave",20
"701","feel time",20
"702","flesh blood",20
"703","fool baby",20
"704","fool fell",20
"705","fool girl",20
"706","gettin gettin",20
"707","go high",20
"708","go serve",20
"709","gonna hold",20
"710","gonna need",20
"711","good luck",20
"712","half steppin",20
"713","happen happen",20
"714","help hand",20
"715","hole life",20
"716","know look",20
"717","know play",20
"718","know yeah",20
"719","laugh laugh",20
"720","life change",20
"721","life word",20
"722","life yeah",20
"723","like bitch",20
"724","line draggin",20
"725","little things",20
"726","live earth",20
"727","live know",20
"728","live learn",20
"729","lonely heart",20
"730","lord lord",20
"731","mean mean",20
"732","minute minute",20
"733","mystic blow",20
"734","natural mystic",20
"735","party right",20
"736","ready baby",20
"737","reggae reggae",20
"738","right away",20
"739","right hand",20
"740","rockin night",20
"741","round round",20
"742","sleep tonight",20
"743","stop feel",20
"744","street life",20
"745","tell love",20
"746","things right",20
"747","think come",20
"748","time world",20
"749","today know",20
"750","today look",20
"751","tonight want",20
"752","true know",20
"753","want girl",20
"754","want hear",20
"755","want play",20
"756","wide open",20
"757","yeah baby",20
"758","yeah gonna",20
"759","yeah tonight",20
"760","away blow",19
"761","away blue",19
"762","away stay",19
"763","baby sweet",19
"764","better come",19
"765","better dead",19
"766","better hurry",19
"767","black brother",19
"768","call hear",19
"769","cause cause",19
"770","come stand",19
"771","come tell",19
"772","concrete jungle",19
"773","difference life",19
"774","double vision",19
"775","eye open",19
"776","feel strong",19
"777","feel today",19
"778","feelin heart",19
"779","fever summer",19
"780","fight right",19
"781","fine time",19
"782","fool think",19
"783","get ready",19
"784","give life",19
"785","go goodies",19
"786","go head",19
"787","go like",19
"788","gonna sing",19
"789","good night",19
"790","gotta know",19
"791","head hold",19
