"","word","n"
"1","break heart",300
"2","yeah yeah",232
"3","time time",231
"4","long long",224
"5","long time",175
"6","baby baby",163
"7","go go",159
"8","come home",158
"9","hold tight",152
"10","know know",152
"11","come come",139
"12","blue blue",133
"13","come true",131
"14","go away",129
"15","sing song",129
"16","right right",128
"17","hold hold",124
"18","feel like",123
"19","heart break",117
"20","dream come",111
"21","dream dream",104
"22","hold hand",104
"23","good good",103
"24","walk away",101
"25","night night",100
"26","life life",99
"27","fall fall",97
"28","live life",97
"29","good time",95
"30","night long",95
"31","heart heart",91
"32","feel good",89
"33","little girl",89
"34","song sing",88
"35","stay away",85
"36","lonely lonely",84
"37","time come",82
"38","baby come",80
"39","cry cry",78
"40","hurt hurt",74
"41","play song",74
"42","shame shame",73
"43","away away",72
"44","know feel",72
"45","come baby",71
"46","live live",71
"47","baby know",70
"48","look like",70
"49","sweet sweet",70
"50","time go",70
"51","dear dear",68
"52","bring home",67
"53","know go",67
"54","love love",66
"55","kiss kiss",65
"56","feel alright",64
"57","talkin bout",64
"58","gonna stay",62
"59","walk walk",62
"60","leave leave",61
"61","night time",61
"62","alright feel",60
"63","know heart",60
"64","look eye",59
"65","need need",59
"66","gong gong",58
"67","time long",58
"68","bell ring",57
"69","close eye",56
"70","long baby",56
"71","believe believe",55
"72","good vibrations",54
"73","true true",54
"74","arm hold",53
"75","heart know",53
"76","like know",53
"77","night come",53
"78","gonna live",52
"79","right time",52
"80","wish wish",52
"81","away little",51
"82","baby go",51
"83","evil woman",51
"84","want want",51
"85","woman woman",51
"86","come time",50
"87","feel feel",50
"88","hold close",50
"89","like like",50
"90","slip away",50
"91","time know",49
"92","baby long",48
"93","hurdy gurdy",48
"94","root woman",48
"95","change mind",47
"96","home baby",47
"97","stay stay",47
"98","tear tear",47
"99","good morning",46
"100","goodbye goodbye",46
"101","lardy lardy",46
"102","somebody somebody",46
"103","want know",46
"104","wind blow",46
"105","away home",45
"106","comin home",45
"107","good baby",45
"108","know gonna",45
"109","leave baby",45
"110","lonely street",45
"111","right wrong",45
"112","daddy take",44
"113","days go",44
"114","deep heart",44
"115","know true",44
"116","play game",44
"117","share share",44
"118","take tbird",44
"119","tbird away",44
"120","time night",44
"121","want hold",44
"122","whoa whoa",44
"123","know baby",43
"124","know want",43
"125","lovely lovely",43
"126","money money",43
"127","world know",43
"128","write letter",43
"129","change change",42
"130","know mean",42
"131","throw away",42
"132","time right",42
"133","bang bang",41
"134","dream lover",41
"135","fool fool",41
"136","go know",41
"137","go leave",41
"138","hear hear",41
"139","life live",41
"140","miss miss",41
"141","baby leave",40
"142","deep inside",40
"143","good life",40
"144","hand hold",40
"145","heart beat",40
"146","know time",40
"147","sweet dream",40
"148","tear eye",40
"149","tonight tonight",40
"150","baby arm",39
"151","cold cold",39
"152","heart away",39
"153","home home",39
"154","sleep night",39
"155","think think",39
"156","turn turn",39
"157","come life",38
"158","lonely people",38
"159","lyric commercial",38
"160","smile face",38
"161","wrong right",38
"162","away leave",37
"163","heart soul",37
"164","know hurt",37
"165","little hurt",37
"166","long night",37
"167","look look",37
"168","say goodbye",37
"169","spend night",37
"170","better believe",36
"171","go wrong",36
"172","gonna gonna",36
"173","good news",36
"174","hold arm",36
"175","knock knock",36
"176","know come",36
"177","know like",36
"178","long lonely",36
"179","baby time",35
"180","baby yeah",35
"181","remember remember",35
"182","tambourine play",35
"183","treat right",35
"184","world world",35
"185","baby want",34
"186","better hide",34
"187","dream night",34
"188","follow follow",34
"189","go baby",34
"190","gonna leave",34
"191","good thing",34
"192","heart tell",34
"193","little heart",34
"194","open eye",34
"195","walk door",34
"196","baby night",33
"197","fade away",33
"198","feel blue",33
"199","kiss sweet",33
"200","life go",33
"201","lose lose",33
"202","night know",33
"203","peace mind",33
"204","song song",33
"205","sweet baby",33
"206","thank lord",33
"207","turn away",33
"208","away know",32
"209","break dream",32
"210","go long",32
"211","heart baby",32
"212","inside heart",32
"213","know right",32
"214","lord lord",32
"215","mind business",32
"216","putty putty",32
"217","sleep sleep",32
"218","whistle blow",32
"219","bally mena",31
"220","bring bring",31
"221","cause know",31
"222","dead dead",31
"223","funky funky",31
"224","good feel",31
"225","heart stone",31
"226","hustle hustle",31
"227","open heart",31
"228","tell baby",31
"229","tell tell",31
"230","alright alright",30
"231","gonna miss",30
"232","heart like",30
"233","hide heart",30
"234","live time",30
"235","long go",30
"236","make feel",30
"237","minute minute",30
"238","monkey monkey",30
"239","morning good",30
"240","pain heart",30
"241","reggae night",30
"242","sweet kiss",30
"243","tear apart",30
"244","days days",29
"245","dream know",29
"246","gurdy hurdy",29
"247","heart cry",29
"248","know leave",29
"249","live like",29
"250","night life",29
"251","stand stand",29
"252","time baby",29
"253","tomorrow come",29
"254","touch touch",29
"255","treat like",29
"256","waste time",29
"257","away daddy",28
"258","away stay",28
"259","better better",28
"260","break hearts",28
"261","come near",28
"262","early morning",28
"263","go forever",28
"264","grow grow",28
"265","heart ache",28
"266","know wrong",28
"267","live heart",28
"268","music play",28
"269","shut shut",28
"270","sing sing",28
"271","stay night",28
"272","sweet little",28
"273","white light",28
"274","woman root",28
"275","word word",28
"276","yeahyeah yeah",28
"277","bury body",27
"278","come run",27
"279","equal right",27
"280","feel heart",27
"281","give excitations",27
"282","hide hide",27
"283","hurt know",27
"284","jingle jingle",27
"285","know need",27
"286","leave right",27
"287","lonely night",27
"288","lonely nights",27
"289","lover dream",27
"290","right justice",27
"291","spend time",27
"292","take time",27
"293","tear fall",27
"294","tenderly renew",27
"295","till till",27
"296","wait wait",27
"297","yeah baby",27
"298","better watch",26
"299","bouncy bouncy",26
"300","christmas christmas",26
"301","everyday everyday",26
"302","face face",26
"303","feel right",26
"304","funky music",26
"305","gentle mind",26
"306","give heart",26
"307","hear voice",26
"308","heart darling",26
"309","heart feel",26
"310","hold kiss",26
"311","ketchy ketchy",26
"312","ketchy shuby",26
"313","know tell",26
"314","leave know",26
"315","life good",26
"316","like woman",26
"317","lose mind",26
"318","meter maid",26
"319","needle pin",26
"320","shuby shuby",26
"321","stay gonna",26
"322","summer go",26
"323","take away",26
"324","think know",26
"325","touch hand",26
"326","away go",25
"327","baby good",25
"328","begin begin",25
"329","give give",25
"330","go come",25
"331","hear lonesome",25
"332","heart time",25
"333","knock door",25
"334","little better",25
"335","long babe",25
"336","lovely meter",25
"337","night right",25
"338","poor heart",25
"339","reason live",25
"340","save save",25
"341","tell go",25
"342","time hold",25
"343","time tell",25
"344","cause want",24
"345","clap clap",24
"346","come know",24
"347","come tomorrow",24
"348","game play",24
"349","girl want",24
"350","go life",24
"351","hand hand",24
"352","heart belong",24
"353","heart girl",24
"354","hurt inside",24
"355","kiss lips",24
"356","know good",24
"357","life know",24
"358","lips kiss",24
"359","mean thing",24
"360","pass time",24
"361","play funky",24
"362","rain rain",24
"363","ride away",24
"364","right start",24
"365","root radical",24
"366","scare scare",24
"367","shuby tonight",24
"368","sleep dear",24
"369","steal heart",24
"370","sweet love",24
"371","tear cry",24
"372","things like",24
"373","want baby",24
"374","want home",24
"375","break break",23
"376","cello cello",23
"377","dream little",23
"378","feel better",23
"379","girl love",23
"380","go home",23
"381","good golly",23
"382","hard hard",23
"383","hurt little",23
"384","kiss away",23
"385","know live",23
"386","late late",23
"387","life baby",23
"388","life dream",23
"389","life lead",23
"390","lonely baby",23
"391","lonely days",23
"392","love like",23
"393","nothin baby",23
"394","rain fall",23
"395","real real",23
"396","ringalinga dingdongding",23
"397","rubber ball",23
"398","shed tear",23
"399","shirt shirt",23
"400","sing songs",23
"401","somebody help",23
"402","talk bout",23
"403","tear come",23
"404","thirty days",23
"405","till time",23
"406","turn walk",23
"407","want dream",23
"408","write song",23
"409","yeah know",23
"410","arm arm",22
"411","away time",22
"412","baby cause",22
"413","bear lose",22
"414","better little",22
"415","bitch bitch",22
"416","blue suede",22
"417","come go",22
"418","come night",22
"419","come sing",22
"420","dance music",22
"421","eye tell",22
"422","fall know",22
"423","fool rush",22
"424","go blue",22
"425","go good",22
"426","golly miss",22
"427","know love",22
"428","know night",22
"429","leave home",22
"430","like baby",22
"431","lonely heart",22
"432","lonesome whistle",22
"433","look lonely",22
"434","miss go",22
"435","moment moment",22
"436","need money",22
"437","place go",22
"438","shit shit",22
"439","suede shoe",22
"440","tell love",22
"441","things change",22
"442","time hear",22
"443","time live",22
"444","time tear",22
"445","time think",22
"446","walkin walkin",22
"447","warm baby",22
"448","whacka whacka",22
"449","wide world",22
"450","world come",22
"451","babe long",21
"452","baby face",21
"453","baby feel",21
"454","baby sweet",21
"455","care bury",21
"456","cause feel",21
"457","cause time",21
"458","dream baby",21
"459","gotta gotta",21
"460","hang head",21
"461","hard believe",21
"462","heart free",21
"463","heart love",21
"464","hold baby",21
"465","home come",21
"466","hurt heart",21
"467","know break",21
"468","know care",21
"469","know life",21
"470","know see",21
"471","land believe",21
"472","mean world",21
"473","miss marmelstein",21
"474","miss sure",21
"475","mister postman",21
"476","need know",21
"477","night dream",21
"478","night like",21
"479","open door",21
"480","outside look",21
"481","read letter",21
"482","right know",21
"483","sound like",21
"484","think lose",21
"485","tight hold",21
"486","time leave",21
"487","time mind",21
"488","tomorrow tomorrow",21
"489","tonight yeah",21
"490","want need",21
"491","word say",21
"492","baby gonna",20
"493","baby need",20
"494","best friend",20
"495","body lord",20
"496","break hard",20
"497","cheat heart",20
"498","close door",20
"499","dream life",20
"500","everybody know",20
"501","excitations excitations",20
"502","feelin alright",20
"503","forever go",20
"504","forgive forgive",20
"505","hear word",20
"506","heart song",20
"507","heart stop",20
"508","heart think",20
"509","heart true",20
"510","home bring",20
"511","know better",20
"512","know hear",20
"513","know long",20
"514","letter home",20
"515","life begin",20
"516","life turn",20
"517","like ball",20
"518","little dream",20
"519","live know",20
"520","look know",20
"521","love know",20
"522","mind mind",20
"523","need place",20
"524","renew tenderly",20
"525","right baby",20
"526","right night",20
"527","right yeah",20
"528","santa come",20
"529","shoot away",20
"530","sleepy time",20
"531","today tomorrow",20
"532","tomorrow gonna",20
"533","tonight know",20
"534","wait long",20
"535","wanna wanna",20
"536","want stay",20
"537","yeah want",20
"538","away come",19
"539","baby break",19
"540","baby like",19
"541","baby lonely",19
"542","baby think",19
"543","believe better",19
"544","believe true",19
"545","better time",19
"546","break mind",19
"547","business mind",19
"548","call lonely",19
"549","cause heart",19
"550","cold heart",19
"551","come like",19
"552","cry night",19
"553","dead street",19
"554","ease pain",19
"555","easy baby",19
"556","fall apart",19
"557","feelin good",19
"558","forever forever",19
"559","girl know",19
"560","girl stay",19
"561","gonna life",19
"562","head head",19
"563","heart keep",19
"564","honky tonk",19
"565","house home",19
"566","know dream",19
"567","know think",19
"568","laugh laugh",19
"569","lie lie",19
"570","life come",19
"571","like dream",19
"572","like time",19
"573","little bitty",19
"574","live dream",19
"575","look good",19
"576","lord care",19
"577","lord know",19
"578","need help",19
"579","people come",19
"580","pickin good",19
"581","place call",19
"582","seal kiss",19
"583","someday soon",19
"584","song know",19
"585","stay till",19
"586","sugar sweet",19
"587","tell heart",19
"588","tell know",19
"589","tell tear",19
"590","till come",19
"591","time change",19
"592","time feel",19
"593","walk dream",19
"594","walk floor",19
"595","wanna boogie",19
"596","want right",19
"597","want sing",19
"598","warm tender",19
"599","wassup wassup",19
"600","wish know",19
"601","answer prayer",18
"602","away long",18
"603","away world",18
"604","belong belong",18
"605","bitch fuck",18
"606","blue eye",18
"607","bung bung",18
"608","celebrate celebrate",18
"609","celebrate dance",18
"610","cold lonely",18
"611","comin comin",18
"612","cryin cryin",18
"613","darling dream",18
"614","dear sleep",18
"615","dippy dippy",18
"616","dippy dooey",18
"617","doin doin",18
"618","face know",18
"619","fall rain",18
"620","faster faster",18
"621","faster sound",18
"622","fight fight",18
"623","fool fall",18
"624","foolish heart",18
"625","get better",18
"626","girl good",18
"627","good summertime",18
"628","heart come",18
"629","know away",18
"630","know lose",18
"631","know start",18
"632","lead life",18
"633","leave lonely",18
"634","life like",18
"635","like want",18
"636","live forever",18
"637","long come",18
"638","long know",18
"639","morning come",18
"640","morning light",18
"641","night baby",18
"642","open arm",18
"643","pepper lonely",18
"644","play guitar",18
"645","ready ready",18
"646","ringo ringo",18
"647","say know",18
"648","shouldn lie",18
"649","soul look",18
"650","start life",18
"651","sure like",18
"652","sweet music",18
"653","sweet sixteen",18
"654","take heart",18
"655","tell time",18
"656","thing go",18
"657","think life",18
"658","time gonna",18
"659","time heart",18
"660","time say",18
"661","time walk",18
"662","vain vain",18
"663","vibrations give",18
"664","walk shoe",18
"665","walk street",18
"666","walk winter",18
"667","want live",18
"668","woman like",18
"669","world away",18
"670","yeah come",18
"671","yeah feel",18
"672","angels sing",17
"673","baby better",17
"674","baby girl",17
"675","baby say",17
"676","baby write",17
"677","ballin like",17
"678","believe yesterday",17
"679","better look",17
"680","bitch yeah",17
"681","black reggae",17
"682","blue good",17
"683","break know",17
"684","brothers sisters",17
"685","cause come",17
"686","chim chim",17
"687","come right",17
"688","door open",17
"689","funky fever",17
"690","geronimo geronimo",17
"691","gimme gravy",17
"692","girl girl",17
"693","gonna break",17
"694","gonna know",17
"695","good things",17
"696","hard dead",17
"697","hear sing",17
"698","hear song",17
"699","heart apart",17
"700","heart hold",17
"701","heart leave",17
"702","heart mind",17
"703","heart sing",17
"704","heart tear",17
"705","heart want",17
"706","heaven know",17
"707","home away",17
"708","know say",17
"709","lay away",17
"710","learn learn",17
"711","like look",17
"712","little white",17
"713","lonely time",17
"714","long home",17
"715","lover lover",17
"716","music celebrate",17
"717","music music",17
"718","mystery tour",17
"719","night divine",17
"720","radical root",17
"721","ramble ramble",17
"722","right good",17
"723","right home",17
"724","rugged cross",17
"725","satisfy satisfy",17
"726","say say",17
"727","sell heart",17
"728","sleepy place",17
"729","song sleepy",17
"730","tell need",17
"731","tell true",17
"732","tell world",17
"733","things want",17
"734","think gonna",17
"735","thinkin bout",17
"736","tomorrow night",17
"737","turn leave",17
"738","wanna know",17
"739","want come",17
"740","want girl",17
"741","want kiss",17
"742","warm warm",17
"743","wonderful wonderful",17
"744","word hear",17
"745","word world",17
"746","world live",17
"747","away girl",16
"748","away like",16
"749","away walk",16
"750","baby forget",16
"751","baby tonight",16
"752","ball come",16
"753","bang shoot",16
"754","bird sing",16
"755","blue feel",16
"756","boat plan",16
"757","boogie wanna",16
"758","bout talkin",16
"759","build world",16
"760","chim chiminey",16
"761","close comfort",16
"762","comin better",16
"763","company comin",16
"764","damn damn",16
"765","damn lose",16
"766","damn pusher",16
"767","dream away",16
"768","engine fiftyfour",16
"769","fall heart",16
"770","fear hold",16
"771","fear tomorrow",16
"772","feel baby",16
"773","gimme gimme",16
"774","gimme night",16
"775","girl comin",16
"776","go miss",16
"777","go round",16
"778","go tell",16
"779","golden ring",16
"780","grow cold",16
"781","hate hear",16
"782","hear momma",16
"783","heart hurt",16
"784","heart junkman",16
"785","hold near",16
"786","home know",16
"787","hurt go",16
"788","hurt like",16
"789","jitterbug jitterbug",16
"790","kiss night",16
"791","know reason",16
"792","know things",16
"793","life away",16
"794","like fool",16
"795","like life",16
"796","like night",16
"797","like think",16
"798","like walk",16
"799","lips sweet",16
"800","little piece",16
"801","little things",16
"802","look soul",16
"803","maybe tomorrow",16
"804","mean mean",16
"805","melt away",16
"806","need want",16
"807","news good",16
"808","night hold",16
"809","open wide",16
"810","party line",16
"811","piece heart",16
"812","record play",16
"813","reggae music",16
"814","remember life",16
"815","right gonna",16
"816","rivers memory",16
"817","soon go",16
"818","start heart",16
"819","sweet thing",16
"820","tear heart",16
"821","tear shed",16
"822","tell like",16
"823","tell long",16
"824","think time",16
"825","thrill kiss",16
"826","time good",16
"827","time life",16
"828","time look",16
"829","tonight night",16
"830","train boat",16
"831","true know",16
"832","try hard",16
"833","turn light",16
"834","walk right",16
"835","wanna hear",16
"836","want leave",16
"837","white riot",16
"838","woman turn",16
"839","world wide",16
