"","word","n"
"1","dream come true",99
"2","yeah yeah yeah",96
"3","go go go",70
"4","time time time",70
"5","long long time",66
"6","fall fall fall",55
"7","long long long",55
"8","feel alright feel",53
"9","right right right",53
"10","shame shame shame",53
"11","gong gong gong",49
"12","come come come",45
"13","daddy take tbird",44
"14","hold hold hold",44
"15","take tbird away",44
"16","baby baby baby",43
"17","alright feel alright",39
"18","good good good",39
"19","lardy lardy lardy",38
"20","blue blue blue",37
"21","heart heart heart",36
"22","tambourine play song",35
"23","dear dear dear",34
"24","share share share",34
"25","lonely lonely lonely",32
"26","night night night",31
"27","good morning good",30
"28","life life life",30
"29","feel good feel",29
"30","gurdy hurdy gurdy",29
"31","hurdy gurdy hurdy",29
"32","know know know",29
"33","love love love",29
"34","away daddy take",28
"35","hustle hustle hustle",28
"36","somebody somebody somebody",28
"37","tbird away daddy",28
"38","true true true",28
"39","woman root woman",28
"40","equal right justice",27
"41","ketchy shuby shuby",26
"42","long baby long",26
"43","shut shut shut",26
"44","baby come home",25
"45","hurt hurt hurt",25
"46","lovely meter maid",25
"47","night long night",25
"48","root woman root",25
"49","away away away",24
"50","away little girl",24
"51","gonna stay gonna",24
"52","ketchy ketchy shuby",24
"53","long long baby",24
"54","play funky music",24
"55","shuby shuby tonight",24
"56","stay gonna stay",24
"57","whoa whoa whoa",24
"58","kiss kiss kiss",23
"59","begin begin begin",22
"60","blue suede shoe",22
"61","cello cello cello",22
"62","goodbye goodbye goodbye",22
"63","long time long",22
"64","miss miss miss",22
"65","monkey monkey monkey",22
"66","putty putty putty",22
"67","wish wish wish",22
"68","care bury body",21
"69","dream dream dream",21
"70","golly miss sure",21
"71","good golly miss",21
"72","good life life",21
"73","hear lonesome whistle",21
"74","life good life",21
"75","morning good morning",21
"76","night life good",21
"77","alright feel good",20
"78","bouncy bouncy bouncy",20
"79","cry cry cry",20
"80","dream lover dream",20
"81","give excitations excitations",20
"82","heart break heart",20
"83","lovely lovely lovely",20
"84","renew tenderly renew",20
"85","tear tear tear",20
"86","tenderly renew tenderly",20
"87","time right time",20
"88","want dream lover",20
"89","whacka whacka whacka",20
"90","babe long babe",19
"91","baby good baby",19
"92","believe believe believe",19
"93","better hide heart",19
"94","business mind business",19
"95","call lonely street",19
"96","everyday everyday everyday",19
"97","hurt little hurt",19
"98","lonesome whistle blow",19
"99","long babe long",19
"100","mind business mind",19
"101","pickin good vibrations",19
"102","place call lonely",19
"103","sing song sing",19
"104","time long time",19
"105","alright alright alright",18
"106","believe better believe",18
"107","better believe better",18
"108","break heart break",18
"109","bring home bring",18
"110","celebrate celebrate dance",18
"111","celebrate dance music",18
"112","dear sleep dear",18
"113","dippy dippy dooey",18
"114","good baby good",18
"115","good feel good",18
"116","good vibrations give",18
"117","hide heart girl",18
"118","jingle jingle jingle",18
"119","little hurt little",18
"120","minute minute minute",18
"121","money money money",18
"122","night time night",18
"123","sleep dear sleep",18
"124","sleepy time time",18
"125","vibrations give excitations",18
"126","better little better",17
"127","body lord care",17
"128","bury body lord",17
"129","dance music celebrate",17
"130","go away go",17
"131","hold hand hold",17
"132","live live live",17
"133","lord care bury",17
"134","music celebrate celebrate",17
"135","play song sleepy",17
"136","radical root radical",17
"137","song sleepy place",17
"138","steal heart away",17
"139","bang bang shoot",16
"140","boogie wanna boogie",16
"141","bout talkin bout",16
"142","christmas christmas christmas",16
"143","clap clap clap",16
"144","come baby come",16
"145","comin home baby",16
"146","go baby go",16
"147","hand hold hold",16
"148","hear hear hear",16
"149","heart song sing",16
"150","home come home",16
"151","lonely baby lonely",16
"152","long night long",16
"153","miss sure like",16
"154","news good news",16
"155","night time right",16
"156","scare scare scare",16
"157","sell heart junkman",16
"158","stand stand stand",16
"159","sure like ball",16
"160","sweet baby arm",16
"161","sweet sweet little",16
"162","talkin bout talkin",16
"163","train boat plan",16
