"","unigram","n"
"757","takin",36
"758","trick",36
"759","untrue",36
"760","bank",35
"761","complete",35
"762","dearest",35
"763","doctor",35
"764","haunt",35
"765","jitterbug",35
"766","note",35
"767","person",35
"768","softly",35
"769","speed",35
"770","steel",35
"771","style",35
"772","ticket",35
"773","club",34
"774","pound",34
"775","raindrops",34
"776","rid",34
"777","shore",34
"778","toss",34
"779","workin",34
"780","aren",33
"781","ashamed",33
"782","awhile",33
"783","disappear",33
"784","drag",33
"785","footsteps",33
"786","grieve",33
"787","heavenly",33
"788","jealous",33
"789","lightning",33
"790","mirror",33
"791","mystery",33
"792","nature",33
"793","outta",33
"794","perfect",33
"795","renew",33
"796","slave",33
"797","smart",33
"798","space",33
"799","strength",33
"800","strike",33
"801","stronger",33
"802","summertime",33
"803","suppose",33
"804","yonder",33
"805","abuse",32
"806","bally",32
"807","bitter",32
"808","bouncy",32
"809","date",32
"810","december",32
"811","equal",32
"812","hangin",32
"813","hat",32
"814","heartbreak",32
"815","highway",32
"816","nashville",32
"817","older",32
"818","riot",32
"819","seal",32
"820","stare",32
"821","thats",32
"822","woah",32
"823","affair",31
"824","chill",31
"825","dont",31
"826","ears",31
"827","exactly",31
"828","fact",31
"829","kneel",31
"830","lift",31
"831","march",31
"832","mena",31
"833","meter",31
"834","safe",31
"835","sauce",31
"836","seven",31
"837","silly",31
"838","sisters",31
"839","square",31
"840","swim",31
"841","thou",31
"842","tiny",31
"843","tumble",31
"844","wash",31
"845","chair",30
"846","cheek",30
"847","crime",30
"848","daughter",30
"849","figure",30
"850","fish",30
"851","gather",30
"852","grand",30
"853","horse",30
"854","judge",30
"855","ladies",30
"856","limbo",30
"857","loose",30
"858","luie",30
"859","lullaby",30
"860","quit",30
"861","refrain",30
"862","simple",30
"863","sixteen",30
"864","tremble",30
"865","beach",29
"866","bite",29
"867","burnin",29
"868","card",29
"869","church",29
"870","compare",29
"871","curse",29
"872","deceive",29
"873","double",29
"874","endless",29
"875","farm",29
"876","fresh",29
"877","fuckin",29
"878","gaze",29
"879","heavy",29
"880","holy",29
"881","human",29
"882","mood",29
"883","path",29
"884","plea",29
"885","release",29
"886","rubber",29
"887","spin",29
"888","spirit",29
"889","tenderness",29
"890","thirty",29
"891","tiger",29
"892","worlds",29
"893","bleed",28
"894","bottle",28
"895","breakin",28
"896","bungalow",28
"897","castle",28
"898","crack",28
"899","dare",28
"900","dollar",28
"901","doom",28
"902","echo",28
"903","find",28
"904","gently",28
"905","geronimo",28
"906","hallelujah",28
"907","havin",28
"908","heal",28
"909","hearted",28
"910","joke",28
"911","midnight",28
"912","order",28
"913","plane",28
"914","question",28
"915","ringo",28
"916","saturday",28
"917","short",28
"918","sink",28
"919","sleigh",28
"920","sock",28
"921","solid",28
"922","toy",28
"923","wassup",28
"924","wonderland",28
"925","worse",28
"926","worst",28
"927","bare",27
"928","cafe",27
"929","cheer",27
"930","china",27
"931","command",27
"932","cowboy",27
"933","disguise",27
"934","ecstasy",27
"935","foot",27
"936","holiday",27
"937","lifetime",27
"938","oooooo",27
"939","pawn",27
"940","pour",27
"941","pure",27
"942","reveal",27
"943","rhythm",27
"944","smell",27
"945","spanish",27
"946","standin",27
"947","team",27
"948","texas",27
"949","trail",27
"950","view",27
"951","wail",27
"952","act",26
"953","aside",26
"954","bar",26
"955","borrow",26
"956","brave",26
"957","captain",26
"958","claim",26
"959","coast",26
"960","explain",26
"961","family",26
"962","force",26
"963","golly",26
"964","honky",26
"965","hook",26
"966","hungry",26
"967","kitchen",26
"968","let",26
"969","nearly",26
"970","point",26
"971","scheme",26
"972","shop",26
"973","snake",26
"974","south",26
"975","sunlight",26
"976","watchin",26
"977","wheel",26
"978","worship",26
"979","youth",26
"980","accustom",25
"981","asleep",25
"982","bore",25
"983","completely",25
"984","condition",25
"985","cotton",25
"986","cruel",25
"987","dumb",25
"988","east",25
"989","flash",25
"990","gloom",25
"991","grin",25
"992","kissin",25
"993","liberty",25
"994","memphis",25
"995","mexico",25
"996","moments",25
"997","natural",25
"998","nose",25
"999","notice",25
"1000","plenty",25
"1001","purpose",25
"1002","pusher",25
"1003","ridin",25
"1004","roads",25
"1005","sacco",25
"1006","thief",25
"1007","thunder",25
"1008","tough",25
"1009","windows",25
"1010","advice",24
"1011","birthday",24
"1012","blast",24
"1013","bully",24
"1014","bung",24
"1015","cat",24
"1016","cello",24
"1017","chase",24
"1018","cloudy",24
"1019","darn",24
"1020","destiny",24
"1021","dreamer",24
"1022","fake",24
"1023","flag",24
"1024","goodnight",24
"1025","groove",24
"1026","hawaii",24
"1027","imagine",24
"1028","jail",24
"1029","kings",24
"1030","lend",24
"1031","middle",24
"1032","mountains",24
"1033","piano",24
"1034","protect",24
"1035","put",24
"1036","rainy",24
"1037","ringalinga",24
"1038","shape",24
"1039","stage",24
"1040","stain",24
"1041","suck",24
"1042","sunday",24
"1043","surround",24
"1044","tellin",24
"1045","underneath",24
"1046","vow",24
"1047","weren",24
"1048","whacka",24
"1049","accept",23
"1050","bomb",23
"1051","busy",23
"1052","colour",23
"1053","cream",23
"1054","creep",23
"1055","dedicate",23
"1056","destroy",23
"1057","dime",23
"1058","dingdongding",23
"1059","dock",23
"1060","eternity",23
"1061","fault",23
"1062","form",23
"1063","glance",23
"1064","gown",23
"1065","hardly",23
"1066","hill",23
"1067","jumpin",23
"1068","kinds",23
"1069","moan",23
"1070","murder",23
"1071","postman",23
"1072","prison",23
"1073","reign",23
"1074","rough",23
"1075","scratch",23
"1076","stuff",23
"1077","telephone",23
"1078","test",23
"1079","age",22
"1080","agree",22
"1081","astray",22
"1082","awful",22
"1083","bigger",22
"1084","blackbird",22
"1085","bread",22
"1086","brighter",22
"1087","bristol",22
"1088","careful",22
"1089","cars",22
"1090","chick",22
"1091","complain",22
"1092","cook",22
"1093","cookin",22
"1094","dope",22
"1095","emptiness",22
"1096","harm",22
"1097","hilili",22
"1098","horn",22
"1099","join",22
"1100","kingdom",22
"1101","leaf",22
"1102","master",22
"1103","mmmm",22
"1104","monday",22
"1105","pepper",22
"1106","pickin",22
"1107","pity",22
"1108","pocket",22
"1109","probably",22
"1110","serve",22
"1111","spit",22
"1112","stories",22
"1113","suede",22
"1114","tour",22
"1115","wipe",22
"1116","admit",21
"1117","alamo",21
"1118","animal",21
"1119","ballin",21
"1120","blossom",21
"1121","bucket",21
"1122","candle",21
"1123","cell",21
"1124","cigarette",21
"1125","circle",21
"1126","crash",21
"1127","crave",21
"1128","crawly",21
"1129","ding",21
"1130","dirt",21
"1131","experience",21
"1132","fascination",21
"1133","flip",21
"1134","holler",21
"1135","honest",21
"1136","hula",21
"1137","jailhouse",21
"1138","machine",21
"1139","mar",21
"1140","marmelstein",21
"1141","mention",21
"1142","nation",21
"1143","north",21
"1144","punch",21
"1145","rage",21
"1146","respect",21
"1147","ruin",21
"1148","sake",21
"1149","shakin",21
"1150","shelter",21
"1151","sparkle",21
"1152","sunrise",21
"1153","surfin",21
"1154","tennessee",21
"1155","trade",21
"1156","unknown",21
"1157","wealth",21
"1158","wicked",21
"1159","will",21
"1160","wonderin",21
"1161","beggin",20
"1162","beware",20
"1163","bill",20
"1164","blowin",20
"1165","blueberry",20
"1166","breast",20
"1167","choice",20
"1168","coat",20
"1169","creepy",20
"1170","hopin",20
"1171","lala",20
"1172","lalalala",20
"1173","main",20
"1174","month",20
"1175","nail",20
"1176","orleans",20
"1177","page",20
"1178","pair",20
"1179","papaoommowmow",20
"1180","pardon",20
"1181","peach",20
"1182","rainbows",20
"1183","reelin",20
"1184","society",20
"1185","spite",20
"1186","springtime",20
"1187","stack",20
"1188","suit",20
"1189","surfers",20
"1190","sweethearts",20
"1191","swell",20
"1192","swingin",20
"1193","tail",20
"1194","temptation",20
"1195","toe",20
"1196","unkind",20
"1197","vision",20
"1198","wreck",20
"1199","younger",20
"1200","album",19
"1201","baba",19
"1202","bass",19
"1203","bitty",19
"1204","bloody",19
"1205","bounce",19
"1206","callin",19
"1207","chapel",19
"1208","coffee",19
"1209","crew",19
"1210","deck",19
"1211","discover",19
"1212","dry",19
"1213","dwell",19
"1214","everglades",19
"1215","evermore",19
"1216","forsake",19
"1217","harder",19
"1218","harvest",19
"1219","houston",19
"1220","island",19
"1221","jeans",19
"1222","lean",19
"1223","lollipop",19
"1224","mail",19
"1225","miracle",19
"1226","mirage",19
"1227","mistreat",19
"1228","mucho",19
"1229","noise",19
"1230","oooh",19
"1231","ought",19
"1232","photograph",19
"1233","rebel",19
"1234","riches",19
"1235","rooster",19
"1236","rude",19
"1237","seed",19
"1238","self",19
"1239","sentimental",19
"1240","shinin",19
"1241","solo",19
"1242","station",19
"1243","sundown",19
"1244","sunset",19
"1245","tonk",19
"1246","tower",19
"1247","truly",19
"1248","win",19
"1249","ancient",18
"1250","arrive",18
"1251","babylon",18
"1252","birth",18
"1253","choke",18
"1254","court",18
"1255","daylight",18
"1256","dooey",18
"1257","everytime",18
"1258","farmer",18
"1259","final",18
"1260","fire",18
"1261","food",18
"1262","gear",18
"1263","hood",18
"1264","hunger",18
"1265","insane",18
"1266","load",18
"1267","london",18
"1268","male",18
"1269","mammy",18
"1270","mansion",18
"1271","marshmallow",18
"1272","moonlit",18
"1273","peep",18
"1274","plant",18
"1275","pleasure",18
"1276","praise",18
"1277","prayin",18
"1278","press",18
"1279","princess",18
"1280","rag",18
"1281","roar",18
"1282","shade",18
"1283","shatter",18
"1284","shotgun",18
"1285","souls",18
"1286","stomp",18
"1287","stroll",18
"1288","stumble",18
"1289","sweep",18
"1290","teacher",18
"1291","trumpet",18
"1292","untameable",18
"1293","visit",18
"1294","wound",18
"1295","action",17
"1296","apple",17
"1297","avenue",17
"1298","barrel",17
"1299","be",17
"1300","bossanova",17
"1301","cattle",17
"1302","chiminey",17
"1303","conscience",17
"1304","continue",17
"1305","course",17
"1306","danger",17
"1307","deed",17
"1308","dice",17
"1309","enemy",17
"1310","fiddle",17
"1311","fiftyfour",17
"1312","fix",17
"1313","fleet",17
"1314","friday",17
"1315","grade",17
"1316","grip",17
"1317","groovin",17
"1318","guard",17
"1319","habit",17
"1320","hasn",17
"1321","heed",17
"1322","hidin",17
"1323","hollaback",17
"1324","husband",17
"1325","intend",17
"1326","journey",17
"1327","knife",17
"1328","louder",17
"1329","meadow",17
"1330","railroad",17
"1331","reality",17
"1332","remove",17
"1333","revenge",17
"1334","rob",17
"1335","rugged",17
"1336","sensation",17
"1337","singer",17
"1338","strip",17
"1339","sword",17
"1340","tempt",17
"1341","trip",17
"1342","undo",17
"1343","unhappy",17
"1344","universe",17
"1345","unto",17
"1346","village",17
"1347","voodoo",17
"1348","warmth",17
"1349","whine",17
"1350","wishin",17
"1351","wither",17
"1352","yack",17
"1353","afternoon",16
"1354","american",16
"1355","anew",16
"1356","beer",16
"1357","behold",16
"1358","boot",16
"1359","bouquet",16
"1360","brush",16
"1361","camera",16
"1362","chance",16
"1363","cheatin",16
"1364","chica",16
"1365","coal",16
"1366","comfortably",16
"1367","conceal",16
"1368","crush",16
"1369","dada",16
"1370","dive",16
"1371","dog",16
"1372","drug",16
"1373","dues",16
"1374","eat",16
"1375","enjoy",16
"1376","exist",16
"1377","favor",16
"1378","fifaifideliio",16
"1379","frame",16
"1380","freak",16
"1381","frown",16
"1382","gain",16
"1383","gleam",16
"1384","greener",16
"1385","gucci",16
"1386","helpless",16
"1387","highest",16
"1388","hoe",16
"1389","holdin",16
"1390","hound",16
"1391","iiiiii",16
"1392","junkman",16
"1393","ladada",16
"1394","lake",16
"1395","leary",16
"1396","mellow",16
"1397","neath",16
"1398","neck",16
"1399","parade",16
"1400","pattern",16
"1401","pink",16
"1402","pledge",16
"1403","preach",16
"1404","pressure",16
"1405","puppy",16
"1406","rap",16
"1407","reachin",16
"1408","refuse",16
"1409","resist",16
"1410","restless",16
"1411","ries",16
"1412","score",16
"1413","shiny",16
"1414","simply",16
"1415","sip",16
"1416","strap",16
"1417","tingle",16
"1418","tuck",16
"1419","veil",16
"1420","yummy",16
"1421","a",15
"1422","arise",15
"1423","attention",15
"1424","bambina",15
"1425","biggest",15
"1426","bits",15
"1427","bluebird",15
"1428","bold",15
"1429","bouncin",15
"1430","cadillac",15
"1431","cage",15
"1432","cake",15
"1433","capture",15
"1434","carol",15
"1435","chattanooga",15
"1436","confess",15
"1437","confusion",15
"1438","darkest",15
"1439","delight",15
"1440","deserve",15
"1441","dinner",15
"1442","distant",15
"1443","elusive",15
"1444","excuse",15
"1445","feather",15
"1446","flat",15
"1447","folk",15
"1448","fountain",15
"1449","fraulein",15
"1450","gift",15
"1451","gladness",15
"1452","haha",15
"1453","harbor",15
"1454","haters",15
"1455","heel",15
"1456","history",15
"1457","lace",15
"1458","lack",15
"1459","ladder",15
"1460","lately",15
"1461","laughin",15
"1462","lesson",15
"1463","loser",15
"1464","madly",15
"1465","mane",15
"1466","marä",15
"1467","messin",15
"1468","mistletoe",15
"1469","movie",15
"1470","ohohoh",15
"1471","operator",15
"1472","pale",15
"1473","pane",15
"1474","peak",15
"1475","pill",15
"1476","pineapple",15
"1477","plead",15
"1478","please",15
"1479","prize",15
"1480","problems",15
"1481","reflect",15
"1482","reflection",15
"1483","rent",15
"1484","salt",15
"1485","salvation",15
"1486","sandman",15
"1487","sharp",15
"1488","spare",15
"1489","spoon",15
"1490","stupid",15
"1491","sympathy",15
"1492","tcha",15
"1493","thirsty",15
"1494","thread",15
"1495","trace",15
"1496","unite",15
"1497","unusual",15
"1498","vietnam",15
"1499","weed",15
"1500","xanadu",15
"1501","yooooh",15
"1502","agood",14
"1503","amaze",14
"1504","america",14
"1505","anytime",14
"1506","blade",14
"1507","bow",14
"1508","buzz",14
"1509","cane",14
"1510","charge",14
"1511","class",14
"1512","constant",14
"1513","cop",14
"1514","cost",14
"1515","cozy",14
"1516","declare",14
"1517","deeper",14
"1518","demand",14
"1519","deny",14
"1520","diddley",14
"1521","donkey",14
"1522","dreamy",14
"1523","duck",14
"1524","electricity",14
"1525","enter",14
"1526","eternal",14
"1527","eternally",14
"1528","false",14
"1529","feast",14
"1530","flesh",14
"1531","flight",14
"1532","followin",14
"1533","fourteen",14
"1534","gladly",14
"1535","goodness",14
"1536","groovy",14
"1537","health",14
"1538","hero",14
"1539","hobo",14
"1540","howl",14
"1541","innocent",14
"1542","inspiration",14
"1543","iron",14
"1544","knee",14
"1545","laws",14
"1546","lazy",14
"1547","legend",14
"1548","mash",14
"1549","mile",14
"1550","necessarily",14
"1551","oblada",14
"1552","obladi",14
"1553","park",14
"1554","partner",14
"1555","passion",14
"1556","peaceful",14
"1557","pistol",14
"1558","plastic",14
"1559","plow",14
"1560","preacher",14
"1561","pump",14
"1562","puttin",14
"1563","receive",14
"1564","roof",14
"1565","seat",14
"1566","secrets",14
"1567","separate",14
"1568","service",14
"1569","sheep",14
"1570","shule",14
"1571","size",14
"1572","smilin",14
"1573","smokey",14
"1574","soothe",14
"1575","sort",14
"1576","spark",14
"1577","splendor",14
"1578","stress",14
"1579","stretch",14
"1580","suitcase",14
"1581","tale",14
"1582","teardrop",14
"1583","throne",14
"1584","torture",14
"1585","upside",14
"1586","waltz",14
"1587","weekend",14
"1588","weigh",14
"1589","whip",14
"1590","woohoo",14
"1591","abaline",13
"1592","angry",13
"1593","attack",13
"1594","backroads",13
"1595","beard",13
"1596","boom",13
"1597","bubble",13
"1598","burden",13
"1599","chicago",13
"1600","chicken",13
"1601","choir",13
"1602","clover",13
"1603","coffin",13
"1604","confuse",13
"1605","create",13
"1606","crumble",13
"1607","devotion",13
