"","unigram","n"
"1","know",3195
"2","time",2557
"3","come",2476
"4","heart",2335
"5","like",2191
"6","baby",2024
"7","go",2015
"8","away",1628
"9","night",1486
"10","life",1461
"11","long",1407
"12","yeah",1312
"13","tell",1252
"14","feel",1237
"15","leave",1235
"16","dream",1221
"17","want",1218
"18","right",1109
"19","live",1093
"20","good",1091
"21","world",1077
"22","home",1046
"23","hold",1031
"24","cause",1020
"25","gonna",1010
"26","think",997
"27","look",985
"28","hear",978
"29","break",966
"30","little",936
"31","blue",919
"32","girl",898
"33","walk",857
"34","say",844
"35","mind",819
"36","need",807
"37","tear",807
"38","sing",802
"39","kiss",797
"40","lonely",790
"41","sweet",753
"42","fall",744
"43","stay",730
"44","true",728
"45","play",718
"46","love",711
"47","hand",702
"48","eye",691
"49","song",670
"50","lose",609
"51","hurt",608
"52","turn",597
"53","better",565
"54","things",562
"55","woman",548
"56","bring",544
"57","cry",543
"58","stand",523
"59","start",521
"60","face",512
"61","believe",511
"62","word",504
"63","change",503
"64","tonight",488
"65","arm",479
"66","take",479
"67","remember",455
"68","give",454
"69","head",446
"70","darling",444
"71","place",435
"72","forget",434
"73","people",431
"74","dear",429
"75","days",424
"76","wrong",406
"77","today",402
"78","care",399
"79","fool",398
"80","mean",396
"81","till",392
"82","rain",389
"83","tomorrow",383
"84","thing",378
"85","hard",374
"86","light",374
"87","wish",372
"88","wanna",371
"89","smile",369
"90","grow",364
"91","cold",360
"92","somebody",355
"93","make",353
"94","miss",345
"95","stop",345
"96","morning",342
"97","hide",341
"98","lord",339
"99","inside",337
"100","music",331
"101","close",322
"102","free",320
"103","wait",320
"104","sleep",318
"105","talk",318
"106","soul",314
"107","gotta",308
"108","goodbye",306
"109","money",305
"110","watch",297
"111","touch",292
"112","ring",290
"113","forever",285
"114","sound",282
"115","door",272
"116","help",269
"117","call",265
"118","keep",265
"119","real",265
"120","pain",263
"121","wind",260
"122","game",259
"123","try",257
"124","dead",255
"125","young",254
"126","begin",249
"127","wonder",246
"128","roll",244
"129","white",242
"130","dance",239
"131","deep",238
"132","laugh",238
"133","summer",238
"134","lie",237
"135","bout",232
"136","kind",232
"137","die",229
"138","follow",229
"139","share",228
"140","tight",228
"141","everybody",227
"142","write",227
"143","years",227
"144","comin",226
"145","listen",224
"146","soon",224
"147","sure",224
"148","open",222
"149","work",222
"150","lips",220
"151","shit",220
"152","fear",219
"153","see",219
"154","belong",216
"155","learn",216
"156","fuck",215
"157","pass",215
"158","alright",213
"159","apart",211
"160","fight",211
"161","near",211
"162","round",210
"163","high",208
"164","lovely",203
"165","guess",202
"166","blow",199
"167","black",197
"168","throw",197
"169","friends",193
"170","get",193
"171","burn",192
"172","line",192
"173","shoot",192
"174","warm",189
"175","beat",188
"176","bitch",188
"177","thrill",186
"178","wall",185
"179","matter",184
"180","understand",184
"181","yesterday",184
"182","kill",183
"183","moment",182
"184","street",182
"185","couldn",181
"186","star",181
"187","friend",180
"188","late",180
"189","someday",180
"190","meet",179
"191","best",178
"192","lover",176
"193","promise",175
"194","dark",174
"195","letter",174
"196","land",173
"197","tree",173
"198","strong",172
"199","lonesome",170
"200","spend",170
"201","cross",169
"202","catch",168
"203","grind",168
"204","send",168
"205","train",168
"206","build",167
"207","goin",167
"208","nothin",167
"209","reach",167
"210","treat",167
"211","maybe",166
"212","run",166
"213","trouble",164
"214","pray",163
"215","fade",161
"216","heaven",161
"217","house",161
"218","christmas",158
"219","wonderful",158
"220","lead",157
"221","shame",156
"222","speak",155
"223","memory",154
"224","room",154
"225","save",154
"226","whoa",154
"227","ride",153
"228","year",153
"229","bear",151
"230","memories",150
"231","moon",149
"232","pretty",149
"233","winter",149
"234","daddy",148
"235","voice",148
"236","thank",147
"237","reason",146
"238","hearts",145
"239","wear",145
"240","steal",143
"241","party",142
"242","body",141
"243","sorrow",140
"244","fell",139
"245","hang",139
"246","plan",139
"247","tire",138
"248","babe",136
"249","count",136
"250","fine",136
"251","hate",136
"252","knock",136
"253","river",136
"254","past",135
"255","whisper",134
"256","child",133
"257","easy",133
"258","walkin",133
"259","happen",132
"260","poor",132
"261","step",132
"262","death",131
"263","happiness",131
"264","road",131
"265","nigga",129
"266","ready",129
"267","wouldn",129
"268","shake",128
"269","rest",127
"270","great",126
"271","mother",126
"272","nights",126
"273","pride",125
"274","ball",124
"275","end",124
"276","minute",124
"277","feelin",123
"278","shoe",123
"279","stone",123
"280","blind",122
"281","gold",122
"282","peace",122
"283","search",121
"284","blood",120
"285","talkin",120
"286","bell",117
"287","tender",117
"288","floor",116
"289","spring",116
"290","niggas",115
"291","hair",114
"292","worry",114
"293","darlin",113
"294","outside",113
"295","blame",111
"296","doin",111
"297","satisfy",111
"298","tryin",110
"299","afraid",109
"300","read",109
"301","brother",108
"302","feet",108
"303","hours",108
"304","shin",108
"305","knees",107
"306","misery",107
"307","slip",107
"308","answer",106
"309","cryin",106
"310","fill",106
"311","piece",106
"312","even",105
"313","kick",105
"314","pick",105
"315","story",105
"316","damn",104
"317","drink",104
"318","pull",104
"319","lovin",103
"320","pretend",103
"321","news",102
"322","different",101
"323","shine",101
"324","snow",101
"325","bright",100
"326","everyday",100
"327","girls",100
"328","magic",100
"329","city",99
"330","fast",99
"331","return",99
"332","rule",99
"333","sand",99
"334","forgive",98
"335","green",98
"336","lookin",98
"337","hop",97
"338","picture",97
"339","instrumental",96
"340","truth",96
"341","root",95
"342","slowly",95
"343","songs",95
"344","ways",95
"345","bang",94
"346","doubt",94
"347","nice",94
"348","water",94
"349","wide",94
"350","felt",93
"351","teardrops",93
"352","cloud",91
"353","crazy",91
"354","devil",91
"355","golden",91
"356","heartaches",91
"357","mama",90
"358","brand",89
"359","swing",89
"360","drive",88
"361","funky",88
"362","guitar",88
"363","smoke",88
"364","children",87
"365","earth",87
"366","livin",87
"367","sign",87
"368","trust",87
"369","choose",86
"370","evil",86
"371","queen",86
"372","teach",86
"373","chain",85
"374","flow",85
"375","power",85
"376","realize",85
"377","straight",85
"378","flame",84
"379","shout",84
"380","somethin",84
"381","clear",83
"382","shouldn",83
"383","cheat",82
"384","move",82
"385","sail",82
"386","stick",82
"387","fever",81
"388","lady",81
"389","sorry",81
"390","window",81
"391","anymore",80
"392","sight",80
"393","drop",79
"394","lock",79
"395","movin",79
"396","tune",79
"397","weep",79
"398","charm",78
"399","loneliness",78
"400","strange",78
"401","remind",77
"402","scream",77
"403","sky",77
"404","band",76
"405","cool",76
"406","hour",76
"407","waste",76
"408","wine",76
"409","country",75
"410","farewell",75
"411","gettin",75
"412","longer",75
"413","prove",75
"414","small",75
"415","thinkin",75
"416","thousand",75
"417","vain",75
"418","wed",75
"419","cover",74
"420","hell",74
"421","book",73
"422","hurry",73
"423","lay",73
"424","lovers",73
"425","scene",73
"426","sigh",73
"427","alive",72
"428","flower",72
"429","gimme",72
"430","travel",72
"431","fair",71
"432","second",71
"433","ask",70
"434","bury",70
"435","funny",70
"436","have",70
"437","jingle",70
"438","mister",70
"439","pay",70
"440","monkey",69
"441","prayer",69
"442","regret",69
"443","roses",69
"444","finally",68
"445","gong",68
"446","instead",68
"447","string",68
"448","wasn",68
"449","wife",68
"450","wild",68
"451","cling",67
"452","fly",67
"453","record",67
"454","romance",67
"455","bind",66
"456","bird",66
"457","darkness",66
"458","track",66
"459","brothers",65
"460","father",65
"461","future",65
"462","million",65
"463","paint",65
"464","silver",65
"465","boat",64
"466","crowd",64
"467","drum",64
"468","early",64
"469","finger",64
"470","proud",64
"471","sell",64
"472","shall",64
"473","soft",64
"474","wander",64
"475","weary",64
"476","playin",63
"477","swear",63
"478","tenderly",63
"479","bless",62
"480","makin",62
"481","rock",62
"482","silence",62
"483","sit",62
"484","wave",62
"485","whistle",62
"486","breeze",61
"487","jones",61
"488","paris",61
"489","precious",61
"490","scar",61
"491","color",60
"492","faster",60
"493","grave",60
"494","gurdy",60
"495","mistake",60
"496","mornin",60
"497","race",60
"498","sittin",60
"499","wing",60
"500","buy",59
"501","desire",59
"502","hurtin",59
"503","taste",59
"504","wise",59
"505","check",58
"506","clown",58
"507","shut",58
"508","needle",57
"509","paper",57
"510","sadness",57
"511","shoulder",57
"512","show",57
"513","suddenly",57
"514","boys",56
"515","brain",56
"516","comfort",56
"517","divine",56
"518","fallin",56
"519","fate",56
"520","lardy",56
"521","moonlight",56
"522","pack",56
"523","school",56
"524","thoughts",56
"525","vibrations",56
"526","beautiful",55
"527","bust",55
"528","corner",55
"529","higher",55
"530","lyric",55
"531","rise",55
"532","runnin",55
"533","shadow",55
"534","battle",54
"535","garden",54
"536","half",54
"537","ketchy",54
"538","mouth",54
"539","number",54
"540","slow",54
"541","sugar",54
"542","sweetheart",54
"543","twist",54
"544","ache",53
"545","fail",53
"546","foolish",53
"547","heartache",53
"548","mountain",53
"549","phone",53
"550","roam",53
"551","santa",53
"552","september",53
"553","sweeter",53
"554","weather",53
"555","anybody",52
"556","cast",52
"557","certain",52
"558","couple",52
"559","escape",52
"560","okay",52
"561","recall",52
"562","shuby",52
"563","single",52
"564","women",52
"565","autumn",51
"566","drown",51
"567","folks",51
"568","justice",51
"569","plain",51
"570","raise",51
"571","ramble",51
"572","rhyme",51
"573","sleepy",51
"574","welcome",51
"575","yeahyeah",51
"576","business",50
"577","quick",50
"578","rainbow",50
"579","remain",50
"580","singin",50
"581","angels",49
"582","breath",49
"583","breathe",49
"584","deal",49
"585","ease",49
"586","loud",49
"587","reggae",49
"588","sayin",49
"589","skin",49
"590","appear",48
"591","closer",48
"592","crown",48
"593","hurdy",48
"594","luck",48
"595","maid",48
"596","push",48
"597","thee",48
"598","waitin",48
"599","wake",48
"600","awake",47
"601","bone",47
"602","clap",47
"603","clothe",47
"604","difference",47
"605","drift",47
"606","excitations",47
"607","fame",47
"608","fashion",47
"609","gravy",47
"610","linger",47
"611","mend",47
"612","squeeze",47
"613","boss",46
"614","caress",46
"615","hammer",46
"616","hustle",46
"617","kid",46
"618","momma",46
"619","soldier",46
"620","treasure",46
"621","tryna",46
"622","twice",46
"623","weak",46
"624","yellow",46
"625","ahead",45
"626","gentle",45
"627","glass",45
"628","marry",45
"629","seek",45
"630","shirt",45
"631","silent",45
"632","streets",45
"633","week",45
"634","beneath",44
"635","block",44
"636","dancin",44
"637","dress",44
"638","embrace",44
"639","guy",44
"640","jump",44
"641","melt",44
"642","radical",44
"643","sick",44
"644","spread",44
"645","surely",44
"646","sweetest",44
"647","tbird",44
"648","guide",43
"649","hole",43
"650","message",43
"651","name",43
"652","ocean",43
"653","ones",43
"654","quiet",43
"655","shed",43
"656","table",43
"657","trap",43
"658","bend",42
"659","bother",42
"660","bridge",42
"661","clock",42
"662","company",42
"663","field",42
"664","freeze",42
"665","hush",42
"666","putty",42
"667","radio",42
"668","tambourine",42
"669","tie",42
"670","warn",42
"671","acomin",41
"672","celebrate",41
"673","climb",41
"674","commercial",41
"675","dreamin",41
"676","fellow",41
"677","laughter",41
"678","minutes",41
"679","oooo",41
"680","paradise",41
"681","pillow",41
"682","pin",41
"683","sister",41
"684","tall",41
"685","tide",41
"686","beauty",40
"687","beg",40
"688","bloom",40
"689","boogie",40
"690","california",40
"691","control",40
"692","dust",40
"693","engine",40
"694","fee",40
"695","special",40
"696","stranger",40
"697","valley",40
"698","draw",39
"699","favorite",39
"700","grass",39
"701","heat",39
"702","hello",39
"703","lot",39
"704","mighty",39
"705","papa",39
"706","set",39
"707","ship",39
"708","spot",39
"709","surprise",39
"710","tongue",39
"711","chim",38
"712","clean",38
"713","freedom",38
"714","gang",38
"715","greatest",38
"716","grey",38
"717","leavin",38
"718","mess",38
"719","offer",38
"720","part",38
"721","spell",38
"722","state",38
"723","wrap",38
"724","crawl",37
"725","decide",37
"726","desert",37
"727","dippy",37
"728","dirty",37
"729","gate",37
"730","ghost",37
"731","grab",37
"732","gun",37
"733","kinda",37
"734","knight",37
"735","repeat",37
"736","rockin",37
"737","season",37
"738","secret",37
"739","sense",37
"740","stream",37
"741","suffer",37
"742","yearn",37
"743","board",36
"744","carry",36
"745","cash",36
"746","diamonds",36
"747","glow",36
"748","later",36
"749","pussy",36
"750","rivers",36
"751","rush",36
"752","scare",36
"753","settle",36
"754","store",36
"755","surrender",36
"756","survive",36
