"","unigram","n"
"1","know",5158
"2","time",4493
"3","like",4151
"4","come",3770
"5","heart",3587
"6","away",3198
"7","go",2841
"8","feel",2652
"9","night",2465
"10","life",2382
"11","want",2294
"12","live",2192
"13","baby",2073
"14","right",2068
"15","yeah",2044
"16","leave",1908
"17","tell",1884
"18","cause",1869
"19","think",1844
"20","world",1821
"21","long",1812
"22","gonna",1804
"23","look",1753
"24","break",1729
"25","hold",1680
"26","fall",1666
"27","need",1621
"28","hear",1531
"29","dream",1467
"30","good",1448
"31","eye",1429
"32","mind",1397
"33","say",1377
"34","tonight",1322
"35","hand",1320
"36","stand",1303
"37","turn",1290
"38","lose",1174
"39","play",1169
"40","little",1147
"41","better",1142
"42","believe",1095
"43","take",1087
"44","walk",1086
"45","stay",1068
"46","head",1055
"47","inside",1044
"48","change",1034
"49","face",1025
"50","home",1016
"51","tear",1016
"52","girl",996
"53","wanna",986
"54","things",958
"55","start",911
"56","blue",887
"57","sing",877
"58","love",866
"59","money",843
"60","hard",825
"61","light",824
"62","stop",824
"63","song",810
"64","black",793
"65","true",791
"66","fight",765
"67","remember",765
"68","people",760
"69","word",755
"70","place",753
"71","lonely",710
"72","talk",709
"73","give",680
"74","make",680
"75","kill",674
"76","burn",673
"77","cold",672
"78","fool",666
"79","watch",660
"80","pain",657
"81","wait",646
"82","line",631
"83","touch",630
"84","get",619
"85","dead",617
"86","hide",615
"87","try",614
"88","soul",610
"89","sweet",605
"90","hurt",600
"91","mean",600
"92","fuck",594
"93","forget",591
"94","thing",590
"95","real",589
"96","bring",587
"97","kiss",584
"98","gotta",582
"99","forever",554
"100","shoot",552
"101","lie",550
"102","somebody",549
"103","wrong",546
"104","work",542
"105","call",538
"106","rain",538
"107","care",532
"108","hell",530
"109","days",528
"110","years",526
"111","wish",524
"112","woman",521
"113","close",520
"114","cry",518
"115","learn",516
"116","listen",516
"117","high",515
"118","blood",512
"119","sleep",512
"120","today",498
"121","door",486
"122","music",484
"123","game",482
"124","ready",474
"125","save",471
"126","wall",468
"127","dance",466
"128","free",458
"129","bitch",457
"130","run",440
"131","see",440
"132","till",437
"133","beat",434
"134","wonder",431
"135","fear",429
"136","help",429
"137","open",428
"138","reason",427
"139","sound",421
"140","smile",420
"141","grow",419
"142","arm",409
"143","deep",409
"144","understand",406
"145","alive",403
"146","matter",399
"147","miss",399
"148","apart",398
"149","wind",398
"150","goodbye",391
"151","promise",388
"152","roll",388
"153","begin",386
"154","late",386
"155","tomorrow",385
"156","death",380
"157","keep",377
"158","easy",376
"159","lord",376
"160","morning",374
"161","fade",372
"162","young",370
"163","catch",366
"164","blow",365
"165","dark",360
"166","die",359
"167","slip",359
"168","everybody",357
"169","maybe",357
"170","blind",356
"171","strong",356
"172","devil",355
"173","friend",355
"174","write",354
"175","shit",349
"176","friends",348
"177","step",344
"178","body",341
"179","land",339
"180","nothin",339
"181","best",338
"182","white",335
"183","grind",330
"184","hearts",330
"185","heaven",330
"186","lover",325
"187","throw",323
"188","drink",320
"189","spend",320
"190","nights",315
"191","sure",315
"192","bone",309
"193","bout",309
"194","ring",309
"195","scream",309
"196","memory",305
"197","party",303
"198","room",303
"199","couldn",296
"200","lookin",296
"201","truth",294
"202","voice",292
"203","soon",290
"204","pass",289
"205","kind",282
"206","reach",278
"207","straight",278
"208","hang",273
"209","round",273
"210","guess",272
"211","pull",270
"212","crazy",269
"213","radio",269
"214","nigga",268
"215","past",265
"216","road",261
"217","speak",261
"218","darling",259
"219","send",259
"220","count",258
"221","drive",258
"222","follow",258
"223","laugh",258
"224","alright",251
"225","house",251
"226","rule",251
"227","waste",251
"228","lock",250
"229","tire",248
"230","share",247
"231","stone",247
"232","songs",244
"233","drop",243
"234","point",242
"235","moon",241
"236","meet",239
"237","street",238
"238","power",237
"239","damn",236
"240","lead",236
"241","piece",236
"242","belong",235
"243","future",234
"244","rest",234
"245","kick",233
"246","star",233
"247","tight",232
"248","moment",230
"249","control",229
"250","whoa",229
"251","ways",227
"252","comin",223
"253","hate",223
"254","stick",223
"255","build",221
"256","evil",221
"257","second",221
"258","steal",221
"259","thank",220
"260","city",219
"261","yesterday",219
"262","brain",218
"263","outside",218
"264","plan",218
"265","ride",217
"266","summer",216
"267","doin",215
"268","check",214
"269","feet",214
"270","memories",211
"271","move",210
"272","human",209
"273","shout",209
"274","shake",208
"275","school",207
"276","wear",206
"277","blame",205
"278","clear",205
"279","knock",205
"280","afraid",203
"281","end",202
"282","goin",201
"283","niggas",201
"284","fast",200
"285","fine",200
"286","mouth",200
"287","sign",200
"288","ball",199
"289","near",199
"290","pray",199
"291","sight",199
"292","girls",198
"293","feelin",197
"294","gettin",197
"295","happen",197
"296","livin",197
"297","rise",197
"298","smoke",197
"299","dirty",196
"300","floor",195
"301","lips",195
"302","boys",194
"303","search",194
"304","knees",193
"305","slow",193
"306","sense",191
"307","talkin",191
"308","felt",190
"309","wild",190
"310","cool",189
"311","teach",188
"312","million",187
"313","flow",186
"314","gold",186
"315","shame",186
"316","cross",185
"317","push",184
"318","race",184
"319","shine",184
"320","streets",184
"321","children",183
"322","answer",182
"323","anymore",182
"324","return",182
"325","scar",181
"326","thousand",181
"327","chain",180
"328","finger",180
"329","hop",180
"330","wouldn",180
"331","cover",179
"332","swear",179
"333","bear",178
"334","everyday",178
"335","warm",178
"336","desire",176
"337","pride",176
"338","state",176
"339","earth",175
"340","trust",175
"341","breathe",174
"342","hole",174
"343","picture",174
"344","tryin",174
"345","runnin",173
"346","year",173
"347","read",172
"348","water",168
"349","choose",167
"350","lady",167
"351","trouble",167
"352","mama",166
"353","nice",165
"354","child",164
"355","lovin",164
"356","pretty",164
"357","bleed",163
"358","jump",163
"359","story",163
"360","dear",161
"361","fell",160
"362","clock",159
"363","loud",159
"364","band",158
"365","darkness",158
"366","babe",157
"367","doubt",157
"368","ask",155
"369","minute",155
"370","shadow",154
"371","survive",154
"372","taste",154
"373","crack",153
"374","christmas",152
"375","deal",152
"376","repeat",152
"377","hair",151
"378","lovers",151
"379","realize",151
"380","tree",151
"381","guitar",150
"382","mistake",149
"383","mother",149
"384","kid",148
"385","sick",148
"386","breath",147
"387","fly",147
"388","great",147
"389","poor",147
"390","river",147
"391","shoulder",147
"392","stranger",147
"393","different",146
"394","ones",146
"395","perfect",145
"396","skin",145
"397","whisper",145
"398","book",144
"399","number",144
"400","peace",144
"401","bind",143
"402","space",143
"403","finally",142
"404","soldier",142
"405","someday",142
"406","heat",141
"407","pick",141
"408","dust",140
"409","mirror",140
"410","longer",139
"411","question",139
"412","worry",139
"413","fill",137
"414","sorry",137
"415","twist",135
"416","babylon",134
"417","strike",134
"418","track",134
"419","train",133
"420","crowd",132
"421","daddy",132
"422","record",132
"423","show",132
"424","loose",130
"425","sorrow",130
"426","strange",130
"427","clean",129
"428","closer",129
"429","lyric",129
"430","sell",129
"431","beautiful",128
"432","half",128
"433","rhyme",128
"434","luck",127
"435","walkin",127
"436","window",127
"437","flame",126
"438","treat",126
"439","phone",125
"440","ahead",124
"441","fate",124
"442","paint",124
"443","weak",124
"444","flesh",123
"445","remain",123
"446","bite",122
"447","thrill",122
"448","pretend",121
"449","have",120
"450","spirit",120
"451","wasn",120
"452","crime",119
"453","dress",119
"454","golden",119
"455","small",119
"456","escape",118
"457","heartache",118
"458","knife",118
"459","magic",118
"460","metal",118
"461","shin",118
"462","special",118
"463","bell",117
"464","cloud",117
"465","bright",116
"466","edge",116
"467","style",116
"468","tender",116
"469","letter",115
"470","machine",115
"471","murder",115
"472","safe",115
"473","shut",115
"474","snow",115
"475","tough",115
"476","color",114
"477","funny",114
"478","grave",113
"479","green",113
"480","shall",113
"481","nation",112
"482","rock",112
"483","wing",112
"484","draw",111
"485","master",110
"486","paradise",110
"487","insane",109
"488","hours",108
"489","raise",108
"490","surprise",108
"491","hour",107
"492","bury",106
"493","danger",106
"494","father",106
"495","heal",106
"496","secret",106
"497","wide",106
"498","country",105
"499","ghost",105
"500","hungry",105
"501","business",104
"502","corner",104
"503","dancin",104
"504","brother",103
"505","pack",103
"506","quick",103
"507","slowly",103
"508","soft",103
"509","bang",102
"510","bless",102
"511","mess",102
"512","police",101
"513","rhythm",101
"514","shoe",101
"515","sit",101
"516","telephone",101
"517","commercial",100
"518","jungle",100
"519","paper",100
"520","pay",100
"521","buy",99
"522","haunt",99
"523","makin",99
"524","warn",99
"525","friday",98
"526","sky",98
"527","slide",98
"528","tune",98
"529","history",97
"530","rockin",97
"531","battle",96
"532","beauty",96
"533","bend",96
"534","dare",96
"535","decide",96
"536","fever",96
"537","satisfy",96
"538","tongue",96
"539","crawl",95
"540","fallin",95
"541","heavy",95
"542","silence",95
"543","somethin",95
"544","brand",94
"545","playin",94
"546","romance",94
"547","scene",94
"548","thinkin",94
"549","drag",93
"550","grey",93
"551","thunder",93
"552","waltz",93
"553","darlin",92
"554","later",92
"555","rid",92
"556","serve",92
"557","spell",92
"558","sweat",92
"559","welcome",92
"560","crash",91
"561","message",91
"562","mystery",91
"563","reveal",91
"564","simple",91
"565","texas",91
"566","ugly",91
"567","wife",91
"568","winter",91
"569","burnin",90
"570","queen",90
"571","silver",90
"572","sittin",90
"573","teacher",90
"574","waitin",90
"575","brothers",89
"576","cryin",89
"577","nail",89
"578","note",89
"579","swing",89
"580","thoughts",89
"581","trap",89
"582","chill",88
"583","news",88
"584","regret",88
"585","wine",88
"586","precious",87
"587","youth",87
"588","poison",86
"589","put",86
"590","short",86
"591","single",86
"592","action",85
"593","drug",85
"594","fantasy",85
"595","glass",85
"596","guilty",85
"597","mend",85
"598","misery",85
"599","passion",85
"600","pleasure",85
"601","tryna",85
"602","bomb",84
"603","chance",84
"604","climb",84
"605","disappear",84
"606","freedom",84
"607","freeze",84
"608","grab",84
"609","holy",84
"610","hook",84
"611","instead",84
"612","lesson",84
"613","oooh",84
"614","wake",84
"615","curse",83
"616","ease",83
"617","force",83
"618","attack",82
"619","season",82
"620","smell",82
"621","steel",82
"622","suddenly",82
"623","let",81
"624","melt",81
"625","sand",81
"626","seek",81
"627","slave",81
"628","suffer",81
"629","tie",81
"630","block",80
"631","church",80
"632","clothe",80
"633","drum",80
"634","family",80
"635","notice",80
