"","unigram","n"
"1","know",1233
"2","heart",1078
"3","like",1004
"4","come",956
"5","time",932
"6","go",903
"7","blue",654
"8","long",617
"9","baby",601
"10","leave",541
"11","dream",515
"12","night",509
"13","tell",486
"14","away",481
"15","right",479
"16","want",477
"17","kiss",460
"18","hear",452
"19","feel",451
"20","cause",439
"21","little",432
"22","home",429
"23","life",428
"24","world",414
"25","hold",412
"26","sing",387
"27","sweet",380
"28","true",367
"29","play",355
"30","break",354
"31","good",349
"32","think",347
"33","hand",342
"34","eye",318
"35","say",307
"36","need",302
"37","fall",300
"38","look",298
"39","dear",293
"40","live",293
"41","gonna",287
"42","darling",285
"43","walk",282
"44","love",278
"45","song",265
"46","yeah",256
"47","bring",250
"48","things",248
"49","forget",247
"50","better",246
"51","miss",245
"52","remember",235
"53","stay",229
"54","tear",228
"55","fool",226
"56","lose",222
"57","lonely",220
"58","start",218
"59","arm",216
"60","tonight",201
"61","care",190
"62","face",189
"63","thing",189
"64","days",185
"65","turn",184
"66","take",182
"67","change",181
"68","music",180
"69","mean",178
"70","till",178
"71","word",178
"72","lips",172
"73","money",170
"74","believe",169
"75","smile",168
"76","mind",167
"77","stand",166
"78","head",156
"79","light",154
"80","deep",153
"81","girl",153
"82","give",150
"83","spring",150
"84","today",148
"85","goodbye",145
"86","thrill",141
"87","dance",140
"88","heaven",140
"89","wanna",140
"90","sleep",139
"91","cold",136
"92","young",134
"93","rain",133
"94","watch",133
"95","grow",132
"96","soul",130
"97","romance",129
"98","black",128
"99","fuck",128
"100","moon",128
"101","place",128
"102","wrong",127
"103","wish",125
"104","blow",123
"105","real",122
"106","moment",120
"107","somebody",120
"108","woman",120
"109","meet",119
"110","close",118
"111","lord",118
"112","morning",117
"113","soon",117
"114","try",117
"115","free",116
"116","star",116
"117","write",116
"118","beat",114
"119","begin",114
"120","forever",114
"121","people",114
"122","game",113
"123","stop",113
"124","call",112
"125","make",112
"126","near",111
"127","burn",110
"128","get",110
"129","ring",110
"130","ready",108
"131","wind",108
"132","lover",107
"133","snow",107
"134","talk",105
"135","high",104
"136","comin",103
"137","door",103
"138","nigga",103
"139","white",103
"140","line",102
"141","cry",101
"142","learn",101
"143","pass",101
"144","roll",101
"145","years",101
"146","wait",100
"147","whisper",100
"148","mama",98
"149","wonder",98
"150","inside",97
"151","late",97
"152","shit",97
"153","hard",96
"154","help",96
"155","touch",96
"156","fine",95
"157","apart",94
"158","belong",94
"159","devil",94
"160","maybe",94
"161","warm",94
"162","open",93
"163","lovely",92
"164","tomorrow",92
"165","die",91
"166","pretty",91
"167","promise",91
"168","sound",91
"169","best",89
"170","everyday",89
"171","save",88
"172","share",88
"173","sweetheart",87
"174","tight",85
"175","memory",83
"176","trouble",83
"177","work",82
"178","sure",81
"179","great",80
"180","listen",80
"181","bout",79
"182","speak",79
"183","hide",78
"184","winter",78
"185","friends",77
"186","laugh",76
"187","understand",76
"188","keep",75
"189","swing",75
"190","rhythm",74
"191","wonderful",74
"192","build",73
"193","pain",73
"194","gotta",72
"195","guess",72
"196","party",72
"197","tree",72
"198","easy",71
"199","round",71
"200","see",71
"201","worry",71
"202","fight",70
"203","matter",70
"204","pray",70
"205","zinga",70
"206","catch",69
"207","house",69
"208","hurt",69
"209","bitch",68
"210","memories",68
"211","darlin",67
"212","jump",67
"213","steal",67
"214","dead",66
"215","everybody",66
"216","goodnight",66
"217","niggas",66
"218","hearts",65
"219","death",64
"220","rest",64
"221","send",64
"222","smoke",64
"223","someday",64
"224","tender",64
"225","hallelujah",63
"226","kind",63
"227","poor",63
"228","sigh",63
"229","spend",63
"230","strange",63
"231","tune",63
"232","band",62
"233","fell",62
"234","gold",62
"235","lonesome",62
"236","run",62
"237","funny",61
"238","sky",61
"239","charm",60
"240","fear",60
"241","plan",60
"242","shame",60
"243","blame",59
"244","raindrops",59
"245","ride",59
"246","thank",59
"247","breathe",58
"248","fast",58
"249","goin",58
"250","lie",58
"251","mother",58
"252","road",58
"253","count",57
"254","past",57
"255","shine",57
"256","summer",57
"257","bell",56
"258","end",56
"259","crazy",55
"260","gettin",55
"261","hang",55
"262","kill",55
"263","shin",55
"264","wear",55
"265","drop",54
"266","happen",54
"267","teach",54
"268","bright",53
"269","christmas",53
"270","evil",53
"271","lead",53
"272","pity",53
"273","soft",53
"274","talkin",53
"275","bear",52
"276","finger",52
"277","friend",52
"278","hate",52
"279","room",52
"280","step",52
"281","check",51
"282","cross",51
"283","daddy",51
"284","sorrow",51
"285","voice",51
"286","brain",50
"287","couldn",50
"288","haunt",50
"289","hound",50
"290","lovin",50
"291","year",50
"292","bless",49
"293","certain",49
"294","drink",49
"295","happiness",49
"296","instrumental",49
"297","jericho",49
"298","roses",49
"299","shoe",49
"300","throw",49
"301","angeliqueo",48
"302","fade",48
"303","fill",48
"304","flow",48
"305","regret",48
"306","shout",48
"307","story",48
"308","street",48
"309","walkin",48
"310","wall",48
"311","desire",47
"312","hours",47
"313","kick",47
"314","nothin",47
"315","shoot",47
"316","string",47
"317","wine",47
"318","blood",46
"319","felt",46
"320","land",46
"321","weather",46
"322","beautiful",45
"323","dark",45
"324","embrace",45
"325","reason",45
"326","return",45
"327","ball",44
"328","floor",44
