"","unigram","n"
"933","claim",74
"934","company",74
"935","difference",74
"936","dog",74
"937","nose",74
"938","sinner",74
"939","solo",74
"940","souls",74
"941","spill",74
"942","strange",74
"943","addict",73
"944","click",73
"945","deeper",73
"946","early",73
"947","faster",73
"948","nerve",73
"949","remedy",73
"950","sister",73
"951","speed",73
"952","surely",73
"953","trade",73
"954","waan",73
"955","callin",72
"956","coke",72
"957","distance",72
"958","glow",72
"959","holdin",72
"960","key",72
"961","poor",72
"962","seed",72
"963","shatter",72
"964","sin",72
"965","skrrt",72
"966","squad",72
"967","stress",72
"968","action",71
"969","cheat",71
"970","choice",71
"971","create",71
"972","float",71
"973","golden",71
"974","horse",71
"975","killer",71
"976","rockin",71
"977","romance",71
"978","strip",71
"979","toe",71
"980","army",70
"981","butterfly",70
"982","buzz",70
"983","find",70
"984","homies",70
"985","jeans",70
"986","lesson",70
"987","nail",70
"988","neva",70
"989","plane",70
"990","protect",70
"991","windows",70
"992","wrist",70
"993","brave",69
"994","cigarette",69
"995","foot",69
"996","hurry",69
"997","ignore",69
"998","numb",69
"999","poison",69
"1000","rack",69
"1001","rewind",69
"1002","shape",69
"1003","unknown",69
"1004","bell",68
"1005","bounce",68
"1006","final",68
"1007","frame",68
"1008","groove",68
"1009","hungry",68
"1010","misery",68
"1011","note",68
"1012","notice",68
"1013","put",68
"1014","saturday",68
"1015","settle",68
"1016","smooth",68
"1017","sugar",68
"1018","watchin",68
"1019","benz",67
"1020","confuse",67
"1021","flood",67
"1022","hotter",67
"1023","nation",67
"1024","order",67
"1025","pimp",67
"1026","replace",67
"1027","shed",67
"1028","bar",66
"1029","card",66
"1030","fence",66
"1031","heartbeat",66
"1032","hill",66
"1033","hmmm",66
"1034","madness",66
"1035","refuse",66
"1036","stranger",66
"1037","throne",66
"1038","ting",66
"1039","aren",65
"1040","bunch",65
"1041","expect",65
"1042","generation",65
"1043","medicine",65
"1044","nature",65
"1045","thunder",65
"1046","wound",65
"1047","advice",64
"1048","darkest",64
"1049","defeat",64
"1050","dive",64
"1051","hat",64
"1052","hunnid",64
"1053","kitchen",64
"1054","loneliness",64
"1055","press",64
"1056","rip",64
"1057","shirt",64
"1058","skrt",64
"1059","summertime",64
"1060","thrill",64
"1061","wash",64
"1062","alarm",63
"1063","breeze",63
"1064","cage",63
"1065","candle",63
"1066","ceiling",63
"1067","disguise",63
"1068","drama",63
"1069","guy",63
"1070","hallelujah",63
"1071","happiness",63
"1072","hotel",63
"1073","ohhh",63
"1074","plenty",63
"1075","rent",63
"1076","roof",63
"1077","shop",63
"1078","sleepin",63
"1079","wonderful",63
"1080","bread",62
"1081","burnin",62
"1082","cruel",62
"1083","enter",62
"1084","fire",62
"1085","flex",62
"1086","form",62
"1087","gate",62
"1088","goddamn",62
"1089","impossible",62
"1090","north",62
"1091","pant",62
"1092","quarter",62
"1093","sunrise",62
"1094","attitude",61
"1095","brighter",61
"1096","chop",61
"1097","desert",61
"1098","direction",61
"1099","fish",61
"1100","forgiveness",61
"1101","gift",61
"1102","guilty",61
"1103","mighty",61
"1104","miracle",61
"1105","post",61
"1106","relax",61
"1107","roar",61
"1108","screen",61
"1109","shore",61
"1110","special",61
"1111","station",61
"1112","steel",61
"1113","stumble",61
"1114","sweetheart",61
"1115","trash",61
"1116","violence",61
"1117","arrive",60
"1118","cock",60
"1119","code",60
"1120","compare",60
"1121","course",60
"1122","mask",60
"1123","puttin",60
"1124","shift",60
"1125","thief",60
"1126","bill",59
"1127","bwoy",59
"1128","downtown",59
"1129","ears",59
"1130","forth",59
"1131","humble",59
"1132","offer",59
"1133","piss",59
"1134","pleasure",59
"1135","recognize",59
"1136","rough",59
"1137","satan",59
"1138","set",59
"1139","slap",59
"1140","sunday",59
"1141","tail",59
"1142","throat",59
"1143","wolves",59
"1144","diss",58
"1145","eat",58
"1146","grand",58
"1147","kickin",58
"1148","leavin",58
"1149","moonlight",58
"1150","turnin",58
"1151","whine",58
"1152","anytime",57
"1153","beef",57
"1154","bible",57
"1155","careful",57
"1156","complain",57
"1157","cure",57
"1158","dancin",57
"1159","dime",57
"1160","divide",57
"1161","false",57
"1162","grey",57
"1163","hype",57
"1164","lifetime",57
"1165","monster",57
"1166","park",57
"1167","rage",57
"1168","reggae",57
"1169","suit",57
"1170","trip",57
"1171","clip",56
"1172","crumble",56
"1173","dread",56
"1174","drivin",56
"1175","easier",56
"1176","equal",56
"1177","hardly",56
"1178","lightning",56
"1179","limit",56
"1180","redneck",56
"1181","score",56
"1182","sheet",56
"1183","singin",56
"1184","spoil",56
"1185","swag",56
"1186","telephone",56
"1187","uhhuh",56
"1188","weary",56
"1189","worlds",56
"1190","yellow",56
"1191","belly",55
"1192","blaze",55
"1193","cell",55
"1194","cook",55
"1195","coulda",55
"1196","dangerous",55
"1197","design",55
"1198","dude",55
"1199","moments",55
"1200","movie",55
"1201","neighbor",55
"1202","person",55
"1203","silly",55
"1204","visions",55
"1205","wishin",55
"1206","animal",54
"1207","ash",54
"1208","beepbap",54
"1209","bus",54
"1210","conquer",54
"1211","everytime",54
"1212","guard",54
"1213","havin",54
"1214","maker",54
"1215","minutes",54
"1216","pure",54
"1217","religion",54
"1218","sword",54
"1219","wavy",54
"1220","amen",53
"1221","aside",53
"1222","bruise",53
"1223","burden",53
"1224","comfort",53
"1225","crank",53
"1226","darlin",53
"1227","explode",53
"1228","gain",53
"1229","heartache",53
"1230","heel",53
"1231","lighter",53
"1232","lonesome",53
"1233","melt",53
"1234","monday",53
"1235","punch",53
"1236","squeeze",53
"1237","strap",53
"1238","texas",53
"1239","witness",53
"1240","appear",52
"1241","breakin",52
"1242","collide",52
"1243","danger",52
"1244","embrace",52
"1245","fore",52
"1246","hardest",52
"1247","highs",52
"1248","lower",52
"1249","match",52
"1250","nuff",52
"1251","pool",52
"1252","rapper",52
"1253","roads",52
"1254","roam",52
"1255","scratch",52
"1256","screw",52
"1257","seal",52
"1258","separate",52
"1259","tour",52
"1260","ugly",52
"1261","wipe",52
"1262","yiggy",52
"1263","agree",51
"1264","bathroom",51
"1265","christmas",51
"1266","cream",51
"1267","haha",51
"1268","heroes",51
"1269","hurricane",51
"1270","innocence",51
"1271","island",51
"1272","join",51
"1273","precious",51
"1274","range",51
"1275","salt",51
"1276","shoulda",51
"1277","smack",51
"1278","underground",51
"1279","baddest",50
"1280","button",50
"1281","coat",50
"1282","dice",50
"1283","dreamin",50
"1284","gently",50
"1285","innocent",50
"1286","laughter",50
"1287","pickin",50
"1288","pill",50
"1289","sober",50
"1290","spring",50
"1291","tooth",50
"1292","vacation",50
"1293","wise",50
"1294","apple",49
"1295","daughter",49
"1296","deliver",49
"1297","ê",49
"1298","foreign",49
"1299","geronimo",49
"1300","grass",49
"1301","mission",49
"1302","mystery",49
"1303","natural",49
"1304","pistol",49
"1305","plain",49
"1306","sake",49
"1307","savage",49
"1308","shock",49
"1309","ticket",49
"1310","video",49
"1311","weep",49
"1312","bag",48
"1313","buckle",48
"1314","chillin",48
"1315","colder",48
"1316","colour",48
"1317","dash",48
"1318","exist",48
"1319","funky",48
"1320","harm",48
"1321","howl",48
"1322","keepin",48
"1323","mister",48
"1324","months",48
"1325","ordinary",48
"1326","plate",48
"1327","prepare",48
"1328","rust",48
"1329","satisfy",48
"1330","script",48
"1331","shelter",48
"1332","soak",48
"1333","stretch",48
"1334","traffic",48
"1335","treasure",48
"1336","upside",48
"1337","violent",48
"1338","wisdom",48
"1339","afford",47
"1340","base",47
"1341","couch",47
"1342","dame",47
"1343","dig",47
"1344","dinner",47
"1345","drain",47
"1346","exactly",47
"1347","finna",47
"1348","flight",47
"1349","garden",47
"1350","gravity",47
"1351","hypnotize",47
"1352","inch",47
"1353","knee",47
"1354","league",47
"1355","legs",47
"1356","link",47
"1357","march",47
"1358","model",47
"1359","original",47
"1360","softly",47
"1361","stories",47
"1362","absolutely",46
"1363","backwards",46
"1364","bein",46
"1365","bustin",46
"1366","camera",46
"1367","complicate",46
"1368","cyaa",46
"1369","divine",46
"1370","fruit",46
"1371","halfway",46
"1372","hollywood",46
"1373","hush",46
"1374","monsters",46
"1375","ohhhh",46
"1376","pity",46
"1377","poser",46
"1378","puppa",46
"1379","savior",46
"1380","tshirt",46
"1381","album",45
"1382","crook",45
"1383","dyin",45
"1384","famous",45
"1385","fantasy",45
"1386","gutter",45
"1387","important",45
"1388","journey",45
"1389","kings",45
"1390","marijuana",45
"1391","mental",45
"1392","mood",45
"1393","nananana",45
"1394","ought",45
"1395","solid",45
"1396","split",45
"1397","truly",45
"1398","bump",44
"1399","cave",44
"1400","charge",44
"1401","complete",44
"1402","concrete",44
"1403","cuyah",44
"1404","destiny",44
"1405","endless",44
"1406","feed",44
"1407","flaw",44
"1408","glitter",44
"1409","grade",44
"1410","joint",44
"1411","juice",44
"1412","lovely",44
"1413","oxygen",44
"1414","paralyze",44
"1415","player",44
"1416","pose",44
"1417","purpose",44
"1418","remix",44
"1419","rivers",44
"1420","trail",44
"1421","victim",44
"1422","younger",44
"1423","angry",43
"1424","boyz",43
"1425","castle",43
"1426","ching",43
"1427","clown",43
"1428","cryin",43
"1429","funk",43
"1430","gear",43
"1431","heartbreak",43
"1432","jacket",43
"1433","leather",43
"1434","mention",43
"1435","oohoohooh",43
"1436","plant",43
"1437","punk",43
"1438","represent",43
"1439","role",43
"1440","sacrifice",43
"1441","situation",43
"1442","sneak",43
"1443","stomp",43
"1444","sunset",43
"1445","throwin",43
"1446","unite",43
"1447","chair",42
"1448","cheek",42
"1449","chicks",42
"1450","clue",42
"1451","collect",42
"1452","desperate",42
"1453","enjoy",42
"1454","fan",42
"1455","fit",42
"1456","hittin",42
"1457","japan",42
"1458","jealous",42
"1459","jumpin",42
"1460","label",42
"1461","oohoohoohooh",42
"1462","palm",42
"1463","peep",42
"1464","position",42
"1465","project",42
"1466","rag",42
"1467","shiver",42
"1468","shower",42
"1469","swell",42
"1470","trump",42
"1471","uhoh",42
"1472","yell",42
"1473","back",41
"1474","bedroom",41
"1475","conversation",41
"1476","cyan",41
"1477","electric",41
"1478","grill",41
"1479","keeper",41
"1480","lame",41
"1481","maze",41
"1482","monkey",41
"1483","paris",41
"1484","pepper",41
"1485","practice",41
"1486","pree",41
"1487","rabbit",41
"1488","sharp",41
"1489","simply",41
"1490","thirst",41
"1491","tint",41
"1492","vain",41
"1493","voodoo",41
"1494","wassup",41
"1495","weakness",41
"1496","whatcha",41
"1497","whoaoh",41
"1498","arrow",40
"1499","bold",40
"1500","brush",40
"1501","celebrate",40
"1502","chance",40
"1503","coupe",40
"1504","curtain",40
"1505","dancer",40
"1506","digital",40
"1507","favor",40
"1508","hero",40
"1509","hesitate",40
"1510","holiday",40
"1511","kissin",40
"1512","low",40
"1513","lyin",40
"1514","mash",40
"1515","ooooh",40
"1516","page",40
"1517","passion",40
"1518","phase",40
"1519","pillow",40
"1520","santa",40
"1521","slam",40
"1522","slippin",40
"1523","snap",40
"1524","stain",40
"1525","stall",40
"1526","tat",40
"1527","tool",40
"1528","universe",40
"1529","victory",40
"1530","yeahyeah",40
"1531","allow",39
"1532","ancient",39
"1533","borrow",39
"1534","certain",39
"1535","claw",39
"1536","cooler",39
"1537","core",39
"1538","daily",39
"1539","daylight",39
"1540","disease",39
"1541","fist",39
"1542","foolish",39
"1543","frown",39
"1544","goodbyes",39
"1545","greater",39
"1546","greed",39
"1547","heavens",39
"1548","lack",39
"1549","losin",39
"1550","loss",39
"1551","marry",39
"1552","missin",39
"1553","neon",39
"1554","part",39
"1555","raver",39
"1556","reveal",39
"1557","screamin",39
"1558","spliff",39
"1559","stunt",39
"1560","sweep",39
"1561","tequila",39
"1562","text",39
"1563","trunk",39
"1564","weapon",39
"1565","whoop",39
"1566","whore",39
"1567","worship",39
"1568","beckon",38
"1569","creation",38
"1570","cup",38
"1571","deck",38
"1572","define",38
"1573","dudes",38
"1574","gwaan",38
"1575","hardcore",38
"1576","kush",38
"1577","lazy",38
"1578","mile",38
"1579","misunderstand",38
"1580","month",38
"1581","ohohohoh",38
"1582","pullin",38
"1583","resist",38
"1584","risk",38
"1585","selfish",38
"1586","sip",38
"1587","size",38
"1588","smart",38
"1589","stake",38
"1590","stray",38
"1591","thugs",38
"1592","weigh",38
"1593","be",37
"1594","beam",37
"1595","bull",37
"1596","cali",37
"1597","chicken",37
"1598","cocaine",37
"1599","common",37
"1600","condition",37
"1601","countin",37
"1602","cycle",37
"1603","debt",37
"1604","decisions",37
"1605","depend",37
"1606","dragon",37
"1607","eagle",37
"1608","fuel",37
"1609","hella",37
"1610","knowin",37
"1611","lalalalala",37
"1612","lanes",37
"1613","london",37
"1614","metal",37
