"","unigram","n"
"1","like",8888
"2","know",8203
"3","yeah",5648
"4","time",5624
"5","come",5150
"6","cause",4332
"7","feel",4217
"8","life",3584
"9","want",3521
"10","away",3332
"11","go",3183
"12","right",3169
"13","heart",3123
"14","tell",3071
"15","baby",2893
"16","leave",2875
"17","wanna",2866
"18","need",2779
"19","think",2716
"20","live",2657
"21","fuck",2654
"22","break",2512
"23","good",2511
"24","night",2397
"25","fall",2324
"26","look",2318
"27","gonna",2296
"28","hold",2269
"29","shit",2217
"30","world",2102
"31","mind",2098
"32","hand",1998
"33","bitch",1955
"34","long",1882
"35","better",1795
"36","money",1759
"37","girl",1753
"38","hear",1724
"39","stay",1688
"40","head",1646
"41","say",1614
"42","lose",1593
"43","eye",1520
"44","turn",1485
"45","home",1484
"46","little",1473
"47","nigga",1457
"48","play",1435
"49","change",1422
"50","start",1396
"51","walk",1330
"52","gotta",1321
"53","stand",1308
"54","light",1276
"55","dream",1225
"56","black",1220
"57","take",1217
"58","hard",1214
"59","face",1197
"60","sing",1187
"61","believe",1184
"62","place",1180
"63","things",1129
"64","real",1126
"65","tonight",1123
"66","stop",1104
"67","inside",1095
"68","niggas",1078
"69","watch",1060
"70","fight",1057
"71","bring",1054
"72","bout",1048
"73","get",1030
"74","thing",1028
"75","people",987
"76","talk",976
"77","song",942
"78","try",940
"79","kill",929
"80","high",925
"81","days",911
"82","party",908
"83","work",882
"84","lyric",861
"85","damn",859
"86","word",859
"87","drink",857
"88","tear",857
"89","wish",855
"90","give",854
"91","close",846
"92","sleep",839
"93","soul",839
"94","sound",828
"95","kiss",826
"96","wait",821
"97","beat",807
"98","commercial",805
"99","hell",804
"100","burn",801
"101","mean",792
"102","cold",787
"103","save",770
"104","forget",766
"105","game",766
"106","free",763
"107","open",752
"108","ready",751
"109","remember",748
"110","make",744
"111","pain",741
"112","shoot",735
"113","wrong",731
"114","smoke",730
"115","blood",725
"116","hurt",724
"117","line",714
"118","roll",710
"119","alive",708
"120","love",698
"121","body",696
"122","miss",696
"123","call",687
"124","dead",677
"125","grind",671
"126","hide",667
"127","run",659
"128","throw",654
"129","catch",647
"130","everybody",641
"131","pull",638
"132","drop",628
"133","fear",628
"134","help",614
"135","see",608
"136","young",606
"137","blow",597
"138","learn",594
"139","grow",587
"140","breathe",584
"141","blue",583
"142","somebody",580
"143","dance",573
"144","tryna",572
"145","road",568
"146","wall",567
"147","friends",563
"148","touch",562
"149","best",561
"150","scar",558
"151","sweet",555
"152","care",552
"153","follow",552
"154","truth",549
"155","straight",548
"156","deep",547
"157","lonely",546
"158","forever",544
"159","crazy",540
"160","stick",538
"161","today",538
"162","reason",537
"163","morning",534
"164","lie",529
"165","hate",526
"166","matter",525
"167","true",525
"168","write",521
"169","till",512
"170","lord",508
"171","step",508
"172","apart",507
"173","listen",503
"174","dark",498
"175","whoa",498
"176","door",493
"177","ride",492
"178","strong",492
"179","nothin",488
"180","feet",480
"181","alright",479
"182","speak",477
"183","maybe",476
"184","devil",474
"185","kick",474
"186","waste",474
"187","piece",470
"188","guess",469
"189","woah",466
"190","shake",458
"191","rest",455
"192","smile",455
"193","fool",454
"194","house",454
"195","white",452
"196","mouth",447
"197","fade",446
"198","rain",445
"199","past",441
"200","music",440
"201","years",438
"202","gettin",437
"203","keep",433
"204","spend",433
"205","build",431
"206","sure",431
"207","goin",428
"208","sick",424
"209","comin",422
"210","cry",422
"211","rise",421
"212","pray",417
"213","check",413
"214","fine",412
"215","die",410
"216","lookin",409
"217","moment",408
"218","scream",407
"219","bone",405
"220","water",405
"221","promise",400
"222","arm",399
"223","thank",396
"224","death",395
"225","fuckin",395
"226","ring",391
"227","round",390
"228","livin",387
"229","heaven",385
"230","begin",383
"231","girls",381
"232","late",381
"233","control",379
"234","pick",377
"235","slow",377
"236","pass",374
"237","easy",371
"238","lead",371
"239","talkin",371
"240","voice",369
"241","drive",368
"242","stone",367
"243","city",366
"244","skin",365
"245","tire",361
"246","wonder",361
"247","fast",358
"248","friend",358
"249","room",357
"250","star",354
"251","couldn",351
"252","push",351
"253","trust",351
"254","club",346
"255","move",346
"256","understand",346
"257","blame",345
"258","tomorrow",344
"259","summer",343
"260","breath",339
"261","hang",337
"262","power",337
"263","afraid",336
"264","ohoh",334
"265","blind",332
"266","doin",332
"267","mama",329
"268","reach",327
"269","different",325
"270","woman",325
"271","feelin",323
"272","tryin",322
"273","phone",320
"274","plan",320
"275","pussy",320
"276","worry",320
"277","okay",318
"278","brain",315
"279","count",315
"280","ways",315
"281","sell",314
"282","beautiful",313
"283","bleed",313
"284","hoe",310
"285","gyal",309
"286","ghost",308
"287","wear",307
"288","floor",303
"289","picture",302
"290","raise",302
"291","gold",300
"292","hole",300
"293","lock",300
"294","outta",300
"295","clear",298
"296","kid",298
"297","knees",298
"298","shine",296
"299","goodbye",295
"300","pay",295
"301","steal",295
"302","kind",294
"303","teach",294
"304","wind",293
"305","swear",292
"306","streets",291
"307","pretty",287
"308","cross",286
"309","land",286
"310","evil",285
"311","safe",284
"312","shame",284
"313","choose",283
"314","loud",283
"315","outside",283
"316","thinkin",283
"317","fake",282
"318","lips",281
"319","ones",280
"320","felt",278
"321","knock",276
"322","nights",276
"323","tight",276
"324","clean",275
"325","million",275
"326","second",275
"327","boys",274
"328","cover",274
"329","drown",274
"330","rule",274
"331","flow",271
"332","somethin",271
"333","meet",270
"334","send",270
"335","end",268
"336","sorry",268
"337","dirty",267
"338","songs",267
"339","bear",262
"340","street",262
"341","happen",261
"342","river",260
"343","deal",259
"344","number",258
"345","peace",258
"346","finally",257
"347","soon",257
"348","bless",254
"349","chain",254
"350","ball",253
"351","belong",252
"352","shut",251
"353","hearts",250
"354","moon",250
"355","thousand",247
"356","wave",246
"357","wouldn",246
"358","sayin",245
"359","story",243
"360","everyday",242
"361","awake",241
"362","perfect",241
"363","weed",240
"364","darling",239
"365","tongue",239
"366","finger",238
"367","space",238
"368","point",237
"369","minute",236
"370","cash",235
"371","couple",235
"372","neck",235
"373","taste",234
"374","half",233
"375","mistake",233
"376","style",233
"377","mess",232
"378","bottle",230
"379","jump",230
"380","shout",229
"381","track",229
"382","paper",228
"383","search",228
"384","wasn",228
"385","wide",228
"386","bury",227
"387","hop",227
"388","drug",226
"389","memories",225
"390","babe",222
"391","sign",222
"392","type",222
"393","block",220
"394","oooh",220
"395","pour",220
"396","bust",219
"397","dear",219
"398","gimme",219
"399","rhyme",219
"400","closer",217
"401","doubt",217
"402","wild",217
"403","heavy",215
"404","cool",214
"405","ã",213
"406","darkness",213
"407","country",211
"408","dope",211
"409","read",210
"410","ask",209
"411","great",205
"412","runnin",205
"413","tree",205
"414","diamonds",204
"415","lift",202
"416","ahead",201
"417","family",201
"418","fell",201
"419","flame",201
"420","dust",200
"421","drinkin",199
"422","memory",198
"423","wake",198
"424","anymore",197
"425","pocket",197
"426","silence",197
"427","yesterday",197
"428","earth",196
"429","mirror",196
"430","simple",196
"431","single",196
"432","crew",195
"433","radio",195
"434","brother",194
"435","glass",194
"436","let",194
"437","answer",193
"438","crowd",193
"439","grave",193
"440","show",193
"441","waitin",193
"442","band",192
"443","year",192
"444","luck",189
"445","record",189
"446","crack",188
"447","hair",188
"448","paint",188
"449","slip",188
"450","trouble",188
"451","sight",187
"452","wicked",187
"453","future",186
"454","probably",186
"455","remain",185
"456","school",185
"457","state",185
"458","cloud",184
"459","laugh",184
"460","hood",183
"461","nice",183
"462","bang",182
"463","survive",182
"464","shoe",181
"465","feat",180
"466","thoughts",180
"467","train",180
"468","trap",180
"469","ì",179
"470","longer",179
"471","question",179
"472","chest",178
"473","heat",178
"474","lean",178
"475","share",178
"476","bite",177
"477","green",177
"478","weak",177
"479","daddy",176
"480","mother",176
"481","edge",175
"482","figure",174
"483","bind",173
"484","color",173
"485","pack",172
"486","slowly",172
"487","window",172
"488","kinda",171
"489","near",171
"490","spot",171
"491","ë",170
"492","forgive",170
"493","child",168
"494","ocean",168
"495","father",167
"496","sense",167
"497","steady",167
"498","holy",166
"499","heal",165
"500","middle",165
"501","suck",165
"502","repeat",164
"503","swing",164
"504","clothe",163
"505","grab",163
"506","warm",162
"507","lay",161
"508","ohohoh",161
"509","spin",160
"510","spit",160
"511","fail",159
"512","clock",158
"513","makin",158
"514","pride",158
"515","booty",157
"516","fly",157
"517","dress",156
"518","playin",156
"519","quick",156
"520","south",156
"521","chill",155
"522","bend",154
"523","crawl",154
"524","gang",154
"525","race",152
"526","shoulder",152
"527","twist",151
"528","whip",151
"529","escape",150
"530","pretend",149
"531","sweat",149
"532","root",148
"533","sit",148
"534","takin",148
"535","wine",148
"536","dollar",147
"537","crash",146
"538","gun",146
"539","lovin",146
"540","regret",146
"541","week",146
"542","brand",145
"543","circle",145
"544","drag",145
"545","harder",145
"546","lick",145
"547","rock",145
"548","battle",144
"549","paradise",144
"550","short",144
"551","momma",143
"552","suppose",143
"553","problem",142
"554","buy",141
"555","crown",141
"556","funny",141
"557","lover",141
"558","super",141
"559","flip",140
"560","hollow",140
"561","motherfucker",140
"562","pressure",140
"563","human",139
"564","queen",139
"565","dont",138
"566","hook",138
"567","shin",138
"568","strike",138
"569","wing",138
"570","youth",138
"571","corner",137
"572","double",137
"573","realize",137
"574","welcome",137
"575","seat",136
"576","shots",136
"577","lady",135
"578","quiet",135
"579","quit",135
"580","shawty",135
"581","small",135
"582","truck",135
"583","fee",134
"584","rebel",134
"585","worst",134
"586","fill",133
"587","remind",133
"588","sink",133
"589","book",132
"590","draw",132
"591","loose",132
"592","smell",132
"593","boss",131
"594","instead",131
"595","team",131
"596","load",130
"597","preach",130
"598","weight",130
"599","bass",129
"600","boom",129
"601","business",129
"602","stack",129
"603","switch",129
"604","fault",128
"605","strength",128
"606","insane",127
"607","scene",127
"608","bomb",126
"609","news",126
"610","force",125
"611","have",125
"612","bank",124
"613","hours",124
"614","lately",124
"615","sand",124
"616","tie",124
"617","freedom",123
"618","sittin",123
"619","smokin",123
"620","favorite",122
"621","greatest",122
"622","hit",122
"623","mountain",122
"624","respect",122
"625","view",122
"626","wrap",122
"627","desire",121
"628","niggaz",121
"629","rush",121
"630","bright",120
"631","magic",120
"632","murder",120
"633","america",119
"634","bigger",119
"635","california",119
"636","climb",119
"637","drift",119
"638","soldier",119
"639","demons",118
"640","dirt",118
"641","freeze",118
"642","higher",118
"643","hustle",118
"644","warn",118
"645","crime",117
"646","noise",117
"647","fact",116
"648","haters",116
"649","later",116
"650","liquor",116
"651","master",116
"652","wreck",115
"653","surround",114
"654","swallow",114
"655","amaze",113
"656","beer",113
"657","hello",113
"658","sky",113
"659","main",112
"660","spirit",112
"661","stupid",112
"662","fate",111
"663","problems",111
"664","struggle",111
"665","american",110
"666","friday",110
"667","letter",110
"668","return",110
"669","stronger",110
"670","trick",110
"671","vision",110
"672","church",109
"673","freak",109
"674","fresh",109
"675","drum",108
"676","guitar",107
"677","treat",107
"678","weekend",107
"679","beast",106
"680","bullet",106
"681","chase",106
"682","children",106
"683","choke",106
"684","handle",106
"685","machine",106
"686","reality",106
"687","table",106
"688","travel",106
"689","walkin",106
"690","dumb",105
"691","praise",105
"692","prove",105
"693","pump",105
"694","tick",105
"695","women",105
"696","cake",104
"697","coast",104
"698","decide",104
"699","self",104
"700","teeth",104
"701","whiskey",104
"702","whisper",104
"703","rid",103
"704","shadow",103
"705","trigger",103
"706","tune",103
"707","vibe",103
"708","workin",103
"709","beg",102
"710","givin",102
"711","surprise",102
"712","surrender",102
"713","calm",101
"714","cop",101
"715","food",101
"716","hatin",101
"717","seven",101
"718","string",101
"719","trippin",101
"720","wire",101
"721","ease",100
"722","honest",100
"723","list",100
"724","pop",100
"725","sorrow",100
"726","class",99
"727","cost",99
"728","crush",99
"729","homie",99
"730","imagine",99
"731","naked",99
"732","plus",99
"733","sippin",99
"734","wheel",99
"735","midnight",98
"736","rappers",98
"737","ship",98
"738","slide",98
"739","stage",98
"740","bullshit",97
"741","jail",97
"742","motion",97
"743","path",97
"744","test",97
"745","winter",97
"746","admit",96
"747","boat",96
"748","creep",96
"749","dare",96
"750","disappear",96
"751","asleep",95
"752","brothers",95
"753","forward",95
"754","ridin",95
"755","suffer",95
"756","underneath",95
"757","bridge",94
"758","cheap",94
"759","chick",94
"760","history",94
"761","snow",94
"762","soft",94
"763","undo",94
"764","zone",94
"765","barely",93
"766","bird",93
"767","doctor",93
"768","finish",93
"769","joke",93
"770","bother",92
"771","clap",92
"772","curse",92
"773","deserve",92
"774","fallin",92
"775","flesh",92
"776","ghetto",92
"777","ladies",92
"778","secret",92
"779","strangers",92
"780","tall",92
"781","tough",92
"782","vein",92
"783","beach",91
"784","bling",91
"785","killin",91
"786","knife",91
"787","season",91
"788","silver",91
"789","stuff",91
"790","tellin",91
"791","ache",90
"792","bullets",90
"793","cut",90
"794","east",90
"795","fever",90
"796","focus",90
"797","goodnight",90
"798","judge",90
"799","movin",90
"800","swim",90
"801","tattoo",90
"802","york",90
"803","babylon",89
"804","cast",89
"805","destroy",89
"806","enemies",89
"807","older",89
"808","someday",89
"809","spread",89
"810","doors",88
"811","fair",88
"812","fame",88
"813","hour",88
"814","nasty",88
"815","pound",88
"816","revolution",88
"817","secrets",88
"818","slave",88
"819","spark",88
"820","twice",88
"821","anybody",87
"822","dollars",87
"823","kingdom",87
"824","rope",87
"825","serve",87
"826","angels",86
"827","bubble",86
"828","flash",86
"829","guide",86
"830","motherfuckers",86
"831","sail",86
"832","saint",86
"833","silent",86
"834","actin",85
"835","echo",85
"836","flag",85
"837","hangin",85
"838","hiphop",85
"839","hopeless",85
"840","stare",85
"841","weather",85
"842","beneath",84
"843","bore",84
"844","cars",84
"845","drip",84
"846","folks",84
"847","ruin",84
"848","snake",84
"849","wife",84
"850","erase",83
"851","explain",83
"852","field",83
"853","imma",83
"854","lovers",83
"855","name",83
"856","thang",83
"857","act",82
"858","attention",82
"859","busy",82
"860","enemy",82
"861","grip",82
"862","haunt",82
"863","level",82
"864","motherfuckin",82
"865","motherfucking",82
"866","oohooh",82
"867","rap",82
"868","date",81
"869","fold",81
"870","hammer",81
"871","liar",81
"872","poppin",81
"873","shouldn",81
"874","ballin",80
"875","bare",80
"876","bitter",80
"877","crib",80
"878","damage",80
"879","mornin",80
"880","proof",80
"881","shade",80
"882","store",80
"883","champagne",79
"884","flower",79
"885","highway",79
"886","message",79
"887","mountains",79
"888","needle",79
"889","pills",79
"890","proud",79
"891","riot",79
"892","thats",79
"893","win",79
"894","woods",79
"895","blade",78
"896","dough",78
"897","haffi",78
"898","lungs",78
"899","prison",78
"900","smash",78
"901","spell",78
"902","worse",78
"903","blast",77
"904","blunt",77
"905","boot",77
"906","gather",77
"907","habit",77
"908","overcome",77
"909","police",77
"910","purple",77
"911","shall",77
"912","thug",77
"913","wander",77
"914","coffee",76
"915","dawg",76
"916","energy",76
"917","excuse",76
"918","release",76
"919","rhythm",76
"920","sexy",76
"921","tide",76
"922","attack",75
"923","blowin",75
"924","brick",75
"925","crave",75
"926","gucci",75
"927","plug",75
"928","prayer",75
"929","seek",75
"930","bambalam",74
"931","beauty",74
"932","carry",74
