"","unigram","n"
"1","know",4312
"2","time",3915
"3","come",3155
"4","like",2856
"5","go",2646
"6","feel",2420
"7","away",2417
"8","life",2352
"9","yeah",1992
"10","baby",1958
"11","live",1867
"12","right",1794
"13","leave",1772
"14","heart",1730
"15","want",1692
"16","night",1668
"17","long",1583
"18","good",1499
"19","world",1456
"20","tell",1452
"21","think",1395
"22","gonna",1391
"23","cause",1344
"24","hear",1329
"25","home",1307
"26","need",1297
"27","look",1231
"28","sing",1215
"29","hold",1185
"30","mind",1180
"31","dream",1175
"32","play",1139
"33","sweet",1054
"34","say",1013
"35","change",1000
"36","blue",961
"37","stand",938
"38","eye",935
"39","believe",920
"40","break",918
"41","fall",910
"42","hand",886
"43","little",882
"44","song",863
"45","woman",850
"46","lose",835
"47","stay",821
"48","things",797
"49","take",785
"50","love",783
"51","lonely",782
"52","turn",771
"53","better",769
"54","people",760
"55","money",748
"56","walk",744
"57","tear",717
"58","tonight",715
"59","girl",702
"60","fool",687
"61","bring",682
"62","days",677
"63","face",669
"64","place",662
"65","head",660
"66","true",648
"67","start",640
"68","remember",629
"69","word",622
"70","light",618
"71","wanna",616
"72","music",593
"73","wrong",580
"74","make",576
"75","soul",560
"76","fight",542
"77","dead",528
"78","hide",528
"79","real",528
"80","roll",528
"81","today",526
"82","hard",525
"83","give",522
"84","black",518
"85","cold",510
"86","free",509
"87","inside",501
"88","lord",494
"89","watch",493
"90","stop",492
"91","try",492
"92","gotta",490
"93","talk",487
"94","wait",474
"95","cry",471
"96","morning",469
"97","thing",467
"98","pain",465
"99","get",459
"100","rain",449
"101","grow",442
"102","tomorrow",441
"103","line",440
"104","mean",440
"105","somebody",430
"106","sleep",429
"107","kiss",420
"108","high",418
"109","wish",415
"110","care",414
"111","smile",412
"112","years",409
"113","call",405
"114","everybody",401
"115","door",397
"116","game",396
"117","touch",387
"118","hurt",381
"119","friend",377
"120","help",376
"121","listen",376
"122","till",374
"123","begin",373
"124","learn",370
"125","reason",368
"126","open",361
"127","blow",358
"128","late",357
"129","forget",356
"130","lie",355
"131","sound",355
"132","best",347
"133","kill",347
"134","keep",346
"135","see",344
"136","easy",343
"137","ready",343
"138","work",343
"139","close",335
"140","strong",333
"141","sure",332
"142","understand",329
"143","save",324
"144","arm",320
"145","miss",320
"146","lover",313
"147","pass",312
"148","soon",311
"149","burn",304
"150","wonder",303
"151","bout",302
"152","comin",302
"153","road",296
"154","wind",294
"155","shoot",293
"156","goodbye",291
"157","write",290
"158","wall",289
"159","matter",283
"160","alright",279
"161","white",275
"162","grind",273
"163","deep",271
"164","die",270
"165","share",270
"166","forever",269
"167","party",269
"168","spend",269
"169","dance",268
"170","feelin",266
"171","summer",265
"172","fuck",260
"173","young",259
"174","talkin",258
"175","fear",257
"176","lady",257
"177","songs",256
"178","land",251
"179","alive",250
"180","blood",245
"181","ring",245
"182","thank",245
"183","fade",244
"184","radio",244
"185","round",242
"186","guess",240
"187","rest",239
"188","pull",235
"189","crazy",230
"190","laugh",230
"191","run",230
"192","steal",230
"193","street",230
"194","devil",228
"195","fine",228
"196","kind",225
"197","bitch",224
"198","darling",224
"199","truth",224
"200","couldn",223
"201","friends",223
"202","band",222
"203","maybe",221
"204","throw",221
"205","room",219
"206","nights",218
"207","smoke",217
"208","catch",216
"209","evil",215
"210","city",214
"211","hell",214
"212","dark",213
"213","hang",212
"214","beat",211
"215","happen",211
"216","search",211
"217","reach",209
"218","goin",208
"219","past",208
"220","cross",206
"221","death",206
"222","hate",206
"223","body",205
"224","mama",205
"225","speak",205
"226","voice",203
"227","water",203
"228","heaven",202
"229","tire",201
"230","memories",199
"231","near",199
"232","ways",199
"233","earth",198
"234","blind",193
"235","tight",193
"236","yesterday",192
"237","shit",191
"238","drive",190
"239","meet",188
"240","lead",187
"241","lookin",187
"242","answer",186
"243","nothin",185
"244","ride",185
"245","plan",184
"246","send",184
"247","slip",184
"248","guitar",183
"249","feet",182
"250","number",182
"251","future",181
"252","whoa",181
"253","step",180
"254","stone",180
"255","gettin",179
"256","ghetto",178
"257","pray",177
"258","memory",176
"259","star",176
"260","follow",175
"261","brother",173
"262","promise",172
"263","apart",168
"264","lovin",168
"265","race",168
"266","shine",168
"267","bear",167
"268","child",167
"269","shin",167
"270","build",165
"271","peace",165
"272","blame",164
"273","warm",164
"274","children",163
"275","holy",161
"276","move",161
"277","tryin",161
"278","belong",158
"279","hearts",158
"280","floor",155
"281","moment",153
"282","moon",153
"283","pretty",153
"284","livin",152
"285","someday",152
"286","trouble",152
"287","drink",151
"288","mother",151
"289","sign",151
"290","clear",150
"291","wear",150
"292","waste",149
"293","doin",148
"294","stick",148
"295","brain",147
"296","outside",147
"297","afraid",146
"298","babe",146
"299","dear",146
"300","drop",146
"301","hair",146
"302","piece",146
"303","sorrow",145
"304","house",144
"305","shame",143
"306","train",143
"307","power",142
"308","rise",142
"309","streets",142
"310","teach",142
"311","scream",141
"312","knees",140
"313","window",140
"314","read",139
"315","lips",138
"316","point",138
"317","sight",138
"318","nigga",137
"319","story",137
"320","year",137
"321","magic",136
"322","knock",135
"323","million",135
"324","count",134
"325","crash",134
"326","luck",134
"327","river",134
"328","shake",134
"329","show",134
"330","runnin",133
"331","makin",132
"332","fell",131
"333","flow",131
"334","great",131
"335","pride",131
"336","longer",130
"337","space",130
"338","anymore",129
"339","straight",129
"340","takin",129
"341","midnight",128
"342","choose",126
"343","hop",126
"344","return",126
"345","wild",124
"346","ball",123
"347","breath",123
"348","cool",123
"349","fly",123
"350","tree",123
"351","simple",122
"352","thousand",122
"353","fever",120
"354","slow",120
"355","travel",120
"356","tune",120
"357","strange",119
"358","worry",119
"359","cloud",118
"360","girls",118
"361","gold",118
"362","thoughts",118
"363","wouldn",118
"364","fill",117
"365","bone",116
"366","freedom",116
"367","hole",116
"368","shoe",116
"369","felt",115
"370","bright",114
"371","lonesome",114
"372","rule",114
"373","shout",114
"374","different",113
"375","flame",113
"376","shall",113
"377","snow",113
"378","everyday",112
"379","doubt",111
"380","pick",111
"381","swing",111
"382","fast",110
"383","lock",110
"384","raise",108
"385","trust",108
"386","bless",107
"387","funny",107
"388","mouth",107
"389","nice",107
"390","sail",107
"391","suffer",107
"392","swear",107
"393","wine",107
"394","niggas",105
"395","queen",105
"396","realize",105
"397","school",105
"398","welcome",105
"399","women",105
"400","bleed",104
"401","end",104
"402","loud",104
"403","darkness",103
"404","sky",103
"405","country",102
"406","deal",102
"407","even",102
"408","sense",102
"409","finger",101
"410","happiness",101
"411","wide",101
"412","youth",101
"413","ahead",100
"414","control",100
"415","daddy",100
"416","lovers",100
"417","flash",99
"418","heavy",99
"419","picture",99
"420","remain",98
"421","slowly",98
"422","spring",98
"423","track",98
"424","letter",97
"425","loser",97
"426","misery",97
"427","sell",97
"428","singin",97
"429","winter",97
"430","chain",96
"431","half",96
"432","hour",96
"433","kick",96
"434","poor",96
"435","dirty",95
"436","damn",94
"437","finally",94
"438","highway",94
"439","strike",94
"440","surely",94
"441","treat",94
"442","father",93
"443","insane",93
"444","stranger",93
"445","beautiful",92
"446","check",92
"447","escape",92
"448","push",92
"449","waitin",92
"450","boogie",91
"451","forgive",91
"452","mistake",91
"453","taste",91
"454","brand",90
"455","rhyme",90
"456","lovely",89
"457","precious",89
"458","silver",89
"459","spin",89
"460","boys",88
"461","dope",88
"462","folks",88
"463","human",88
"464","jump",88
"465","babylon",87
"466","bind",87
"467","darlin",87
"468","ask",86
"469","green",86
"470","somethin",86
"471","wake",86
"472","corner",85
"473","freeze",85
"474","ones",85
"475","sand",85
"476","sister",85
"477","action",84
"478","phone",84
"479","skin",84
"480","clean",83
"481","groove",83
"482","hello",83
"483","loose",83
"484","scar",83
"485","sittin",83
"486","mirror",82
"487","question",82
"488","record",82
"489","satisfy",82
"490","hours",81
"491","hurry",81
"492","sorry",81
"493","wing",81
"494","ease",80
"495","heartache",80
"496","ladies",80
"497","note",80
"498","second",80
"499","shadow",80
"500","sit",80
"501","spot",80
"502","lay",79
"503","spirit",79
"504","brothers",78
"505","charm",78
"506","crowd",78
"507","glass",78
"508","mess",78
"509","paper",78
"510","survive",78
"511","tie",78
"512","givin",77
"513","surprise",77
"514","america",76
"515","soft",76
"516","california",75
"517","closer",75
"518","dread",75
"519","lyric",75
"520","praise",75
"521","bird",74
"522","book",74
"523","climb",74
"524","cover",74
"525","find",74
"526","gimme",74
"527","pay",74
"528","desire",73
"529","drag",73
"530","guide",73
"531","proud",73
"532","repeat",73
"533","ship",73
"534","sick",73
"535","wasn",73
"536","color",72
"537","drift",72
"538","kid",72
"539","minute",72
"540","pack",72
"541","perfect",72
"542","seed",72
"543","stronger",72
"544","suck",72
"545","weak",72
"546","breathe",71
"547","crawl",71
"548","laughter",71
"549","pretend",71
"550","cryin",70
"551","daughter",70
"552","early",70
"553","ocean",70
"554","quit",70
"555","sayin",70
"556","seek",70
"557","shut",70
"558","small",70
"559","warn",70
"560","weep",70
"561","commercial",69
"562","have",69
"563","smell",69
"564","spread",69
"565","style",69
"566","whisper",69
"567","act",68
"568","bomb",68
"569","dancin",68
"570","news",68
"571","paradise",68
"572","shoulder",68
"573","soldier",68
"574","card",67
"575","fate",67
"576","regret",67
"577","rid",67
"578","serve",67
"579","spell",67
"580","state",67
"581","wave",67
"582","breeze",66
"583","cash",66
"584","danger",66
"585","dress",66
"586","recall",66
"587","saturday",66
"588","wife",66
"589","draw",65
"590","fair",65
"591","let",65
"592","okay",65
"593","single",65
"594","slave",65
"595","thinkin",65
"596","walkin",65
"597","wheel",65
"598","judge",64
"599","message",64
"600","momma",64
"601","oooh",64
"602","reality",64
"603","scene",64
"604","callin",63
"605","disappear",63
"606","ghost",63
"607","join",63
"608","natural",63
"609","rainbow",63
"610","reggae",63
"611","remind",63
"612","silent",63
"613","string",63
"614","tender",63
"615","tongue",63
"616","wrap",63
"617","bridge",62
"618","heat",62
"619","instead",62
"620","doctor",61
"621","loneliness",61
"622","playin",61
"623","pressure",61
"624","seven",61
"625","affair",60
"626","bass",60
"627","daylight",60
"628","dont",60
"629","fee",60
"630","garden",60
"631","grave",60
"632","hill",60
"633","linger",60
"634","monkey",60
"635","mountain",60
"636","romance",60
"637","searchin",60
"638","appear",59
"639","gun",59
"640","master",59
"641","mountains",59
"642","plane",59
"643","woah",59
"644","bread",58
"645","double",58
"646","drown",58
"647","gate",58
"648","prove",58
"649","rag",58
